"zone","state","lga","sector","ea","hhid","s10q1","s10q2","s10q3","s10q4","s10q5","s10q6","s10q7","s10q8"
1,31,3112,2,350,310081,1,4000,2,,,2,,
5,32,3215,1,2978,320003,1,30000,2,,,2,,
5,32,3215,1,2978,320006,1,5000,2,,,2,,
5,32,3215,1,2978,320007,1,2000,2,,,2,,
5,32,3215,1,2978,320009,1,50000,2,,,2,,
5,32,3222,1,2780,320014,1,10000,2,,,2,,
5,32,3222,1,2780,320015,1,8000,2,,,2,,
5,32,3222,1,2780,320016,1,18000,2,,,1,,30000
5,32,3218,2,296,320027,2,,1,1,14500,2,,
5,32,3218,2,296,320028,1,20000,2,,,2,,
5,32,3209,1,1208,320044,1,10000,1,1,14000,2,,
5,32,3209,1,1208,320045,1,5000,2,,,2,,
5,32,3209,1,1208,320048,2,,1,2,40000,2,,
5,32,3213,2,128,320052,1,20000,2,,,1,,200000
5,32,3215,1,4712,320057,1,200000,2,,,2,,
5,32,3215,1,4712,320062,2,,1,2,300000,1,,150000
5,32,3215,1,1896,320065,2,,2,,,1,,
