"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q5","s3q6","s3q7","s3q8","s3q9","s3q10","s3q11","s3q12a","s3q12b","s3q13","s3q14","s3q15","s3q16","s3q17","s3q18","s3q19","s3q20","s3q21a","s3q21b","s3q22","s3q23a","s3q23b","s3q24","s3q25","s3q26","s3q27","s3q28","s3q29","s3q30","s3q31","s3q32","s3q33a","s3q33b","s3q34","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38a","s3q38b"
4,1,111,1,1146,10035,5,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10035,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10036,1,1,2,3,2,2,1,1,,,,,,,1226,8,10,12,52,40,1,,100000,4,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10036,2,1,2,3,2,2,1,1,,,,,,,3416,8,10,9,36,54,1,,1000,3,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10036,3,1,1,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,0,
4,1,111,1,1146,10036,4,1,2,3,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10036,5,1,2,3,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10036,6,1,2,3,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10037,1,1,2,5,1,2,2,1,,,,,,,9131,10,5,12,52,54,1,,7000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10037,2,1,2,5,2,2,1,1,,,,,,,7122,10,10,9,36,45,1,,3000,3,2,,,2,,,,,,,,,,,,,,2,0,,0,
