"zone","state","lga","sector","ea","hhid","item_cd","s5q1"
4,1,106,2,880,10028,305,1
4,1,106,2,880,10028,306,1
4,1,106,2,880,10029,305,2
4,1,106,2,880,10029,311,1
4,1,106,2,880,10029,317,1
4,1,106,2,880,10029,318,1
4,1,106,2,880,10029,322,1
4,1,106,2,880,10029,326,1
4,1,106,2,880,10030,304,1
4,1,106,2,880,10030,305,1
4,1,106,2,880,10030,306,1
4,1,106,2,880,10030,317,1
4,1,106,2,880,10030,318,1
4,1,106,2,880,10030,321,1
4,1,106,2,880,10030,322,1
4,1,106,2,880,10030,326,1
4,1,106,2,880,10030,327,1
4,1,106,2,880,10030,329,1
4,1,111,1,1146,10031,301,1
4,1,111,1,1146,10031,302,1
4,1,111,1,1146,10031,303,1
4,1,111,1,1146,10031,304,3
4,1,111,1,1146,10031,305,3
4,1,111,1,1146,10031,306,1
4,1,111,1,1146,10031,311,2
4,1,111,1,1146,10031,313,1
4,1,111,1,1146,10031,320,1
4,1,111,1,1146,10031,321,3
4,1,111,1,1146,10031,322,1
4,1,111,1,1146,10031,326,1
4,1,111,1,1146,10031,327,1
4,1,111,1,1146,10031,329,1
4,1,111,1,1146,10032,301,1
4,1,111,1,1146,10032,303,1
4,1,111,1,1146,10032,304,2
4,1,111,1,1146,10032,305,1
4,1,111,1,1146,10032,306,1
4,1,111,1,1146,10032,311,2
4,1,111,1,1146,10032,312,1
4,1,111,1,1146,10032,321,2
4,1,111,1,1146,10032,322,1
4,1,111,1,1146,10032,323,1
4,1,111,1,1146,10032,326,1
4,1,111,1,1146,10032,327,1
4,1,111,1,1146,10032,329,1
4,1,111,1,1146,10033,301,1
4,1,111,1,1146,10033,302,1
4,1,111,1,1146,10033,303,1
4,1,111,1,1146,10033,304,1
4,1,111,1,1146,10033,305,1
4,1,111,1,1146,10033,311,1
4,1,111,1,1146,10033,312,1
4,1,111,1,1146,10033,321,1
4,1,111,1,1146,10033,322,1
4,1,111,1,1146,10033,326,1
4,1,111,1,1146,10033,327,1
4,1,111,1,1146,10034,301,1
4,1,111,1,1146,10034,302,4
4,1,111,1,1146,10034,303,1
4,1,111,1,1146,10034,304,5
4,1,111,1,1146,10034,305,3
4,1,111,1,1146,10034,307,1
4,1,111,1,1146,10034,311,2
4,1,111,1,1146,10034,312,1
4,1,111,1,1146,10034,319,1
4,1,111,1,1146,10034,320,1
4,1,111,1,1146,10034,321,5
4,1,111,1,1146,10034,322,2
4,1,111,1,1146,10034,326,1
4,1,111,1,1146,10034,327,2
4,1,111,1,1146,10035,301,1
4,1,111,1,1146,10035,302,1
4,1,111,1,1146,10035,303,1
4,1,111,1,1146,10035,304,3
4,1,111,1,1146,10035,305,3
4,1,111,1,1146,10035,310,2
4,1,111,1,1146,10035,311,1
