"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
2,2,212,2,956,20054,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,212,2,956,20055,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,212,2,956,20056,1,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,212,2,956,20057,2,3,0,,,,,,,2,,1,,,,2,,,,,,,,,
2,2,212,2,956,20058,2,1,2,0,0,0,0,0,0,2,2,1,,,,1,,7,,,,,1,5,
2,2,212,2,956,20059,3,0,1,2,2,2,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,212,2,956,20060,4,0,1,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,210,2,1300,20061,3,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,210,2,1300,20062,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,4,,,,,,
2,2,210,2,1300,20063,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,210,2,1300,20064,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,210,2,1300,20065,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,210,2,1300,20066,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,210,2,1300,20067,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,210,2,1300,20068,2,5,0,2,2,1,2,2,0,2,2,1,,,,2,,,,,,,,,
2,2,210,2,1300,20069,3,3,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,210,2,1300,20070,2,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,214,2,898,20071,2,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,214,2,898,20072,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,214,2,898,20073,3,2,4,0,0,0,0,0,0,3,3,1,,,,1,8,9,10,,8,10,3,5,
2,2,214,2,898,20074,2,,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,20075,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,214,2,898,20076,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,214,2,898,20077,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,214,2,898,20078,0,0,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
2,2,214,2,898,20079,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,
2,2,214,2,898,20080,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,215,1,8,20081,2,0,0,0,0,3,0,2,2,2,2,1,,,,2,,,,,,,,,
2,2,215,1,8,20082,3,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,215,1,8,20083,4,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,215,1,8,20084,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,215,1,8,20085,0,2,2,2,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,215,1,8,20086,3,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,215,1,8,20087,5,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,215,1,8,20088,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,215,1,8,20089,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,215,1,8,20090,0,2,0,0,0,0,0,0,0,3,2,1,,,,2,,,,,,,,,
