"zone","state","lga","sector","ea","hhid","plotid","qa_type_plot","dist_household","srtmslp_nga","srtm_nga","twi_nga"
5,3,316,2,874,30026,1,1,0.1,0.5,73,17
5,3,316,2,874,30028,1,1,0.9,10.2,57,11
5,3,309,2,478,30032,1,3,0.8,1.7,62,15
5,3,309,2,478,30032,2,3,0.8,1.3,61,15
5,3,309,2,478,30038,1,1,0.1,2.3,65,14
5,3,309,2,478,30038,2,1,0.1,2.2,66,14
5,3,309,2,478,30038,3,1,0.1,1.9,66,14
5,3,309,2,478,30038,4,1,0.1,1.8,66,14
5,3,309,2,478,30040,1,1,1,1.7,63,14
5,3,309,2,478,30040,2,1,1.2,0.8,61,16
5,3,307,1,634,30043,1,1,0.1,2.4,41,15
5,3,307,1,634,30045,1,1,0.1,1.6,41,15
5,3,307,1,634,30045,2,1,0.5,1.1,38,17
5,3,307,1,634,30045,3,1,0.8,1.6,38,15
5,3,307,1,634,30047,1,1,0,1.1,40,16
5,3,307,1,634,30047,2,1,0.7,1.8,39,15
5,3,307,1,634,30047,3,1,0.5,0.7,38,18
5,3,307,1,634,30049,1,1,0,2.3,41,16
5,3,307,1,634,30049,2,1,0,2.6,42,15
5,3,321,2,364,30054,1,1,0,1.4,39,15
5,3,321,2,364,30054,2,1,0.2,1.3,41,14
5,3,321,2,364,30056,1,1,0.2,1.6,41,14
5,3,321,2,364,30056,2,1,0.6,1.6,40,14
5,3,321,2,364,30057,1,1,0.1,1.9,43,14
5,3,321,2,364,30057,2,1,0,1.7,43,14
5,3,321,2,364,30058,1,1,0.6,1.7,42,14
5,3,321,2,364,30058,2,1,0.5,1.6,42,14
5,3,321,2,364,30059,1,1,3.7,1.2,43,14
5,3,321,2,364,30059,2,1,0,1.4,43,14
5,3,321,2,364,30059,3,1,0,1.2,43,14
5,3,321,2,364,30060,1,1,0,0.7,44,14
5,3,321,2,364,30060,2,1,1,0.8,39,15
5,3,321,2,364,30060,3,1,0.5,1.7,39,15
5,3,321,2,364,30060,4,1,0.2,1.3,45,14
5,3,323,2,580,30073,1,1,0.8,6.4,42,13
5,3,323,2,580,30077,1,1,2.6,1.1,46,14
5,3,323,2,580,30077,2,1,2.6,1.1,46,15
5,3,323,2,580,30077,3,1,2.7,0.9,49,15
5,3,323,2,580,30077,4,1,2.8,2,45,15
5,3,323,2,580,30077,5,1,2.9,1.3,46,16
5,3,323,2,580,30077,6,1,2.9,0.2,46,19
5,3,323,2,580,30077,7,1,3,0.9,48,15
5,3,323,2,580,30077,8,1,1.8,1.2,47,14
5,3,323,2,580,30078,1,3,0.8,1.7,49,13
5,3,323,2,580,30078,2,3,0.4,0.7,46,15
5,3,323,2,580,30078,3,3,0.5,0.3,46,15
5,3,313,2,70,30094,1,3,0.3,1.3,28,14
5,3,313,2,70,30096,3,1,0,0.7,31,15
5,3,313,2,70,30100,1,3,1.5,0.2,24,19
5,3,313,2,70,30100,2,1,1.5,0.3,24,20
