"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,4,419,2,296,5,1,52,8,,,10,16
4,4,419,2,296,6,1,47,8,,,15,16
4,4,421,1,800,1,1,48,1,,,2,26
4,4,421,1,800,2,2,42,8,,,20,16
4,4,421,1,800,3,1,37,8,,,2,16
4,4,421,1,800,4,2,17,11,,"STUDENT",4,21
4,4,421,1,800,5,1,42,8,,,17,28
4,4,421,1,800,6,2,28,8,,,12,23
4,4,421,1,800,7,1,29,8,,,7,16
2,5,501,2,60,1,1,65,1,,,65,51
2,5,501,2,60,2,1,,9,,,67,51
2,5,501,2,60,3,2,47,11,,"WOMEN LEADER",18,26
2,5,501,2,60,4,1,37,8,,,37,51
2,5,501,2,60,5,1,30,6,,,30,26
2,5,502,1,2194,1,1,57,1,,,57,0
2,5,502,1,2194,2,1,52,3,,,52,0
2,5,502,1,2194,3,2,40,2,,,20,16
2,5,502,1,2194,4,1,44,8,,,44,41
2,5,502,1,2194,5,1,30,3,,,30,41
2,5,502,1,2194,6,1,42,8,,,7,16
2,5,502,2,3878,1,1,72,1,,,46,0
2,5,502,2,3878,2,2,67,2,,,46,0
2,5,502,2,3878,3,1,36,9,,,36,26
2,5,502,2,3878,4,1,42,9,,,42,23
2,5,502,2,3878,5,1,25,11,,"YOUNTH LEADER",25,26
2,5,502,2,3878,6,1,39,8,,,39,23
2,5,504,2,708,1,1,65,1,,,65,61
2,5,504,2,708,2,2,50,2,,,50,16
2,5,504,2,708,3,1,85,9,,,85,51
2,5,504,2,708,4,1,30,11,,"YOUTH LEADER",30,26
2,5,504,2,708,5,2,80,11,,"WOMEN LEADER",80,0
2,5,506,2,830,1,1,43,1,,,43,16
2,5,506,2,830,2,1,47,3,,,47,16
2,5,506,2,830,3,1,49,11,,,49,26
2,5,506,2,830,4,1,62,9,,,43,0
2,5,506,2,830,5,1,28,5,,,28,
2,5,508,2,718,1,1,42,1,,,42,26
2,5,508,2,718,2,1,67,9,,,22,51
2,5,508,2,718,3,1,35,8,,,35,23
2,5,508,2,718,4,1,35,8,,,35,23
2,5,508,2,718,5,1,38,6,,,38,23
2,5,508,2,984,1,1,82,1,,,82,51
2,5,508,2,984,2,1,60,3,,,20,0
2,5,508,2,984,3,1,44,9,,,42,51
2,5,508,2,984,4,2,27,11,,"WOMEN LEADER",27,16
2,5,508,2,984,5,1,45,7,,,45,41
2,5,508,2,984,6,1,27,11,,"YOUNTH LEADER",27,16
2,5,510,1,872,1,1,60,1,,,17,41
2,5,510,1,872,2,2,40,2,,,17,16
2,5,510,1,872,3,1,56,9,,,10,42
2,5,510,1,872,4,1,42,11,,"YOUTH LEADER",42,34
2,5,510,1,872,5,2,46,11,,"WOMEN LEADER",46,26
2,5,510,2,1516,1,1,60,1,,,60,0
2,5,510,2,1516,2,2,50,2,,,50,0
2,5,510,2,1516,3,1,55,9,,,55,51
2,5,510,2,1516,4,1,40,11,,"YOUTH LEADER",40,0
2,5,510,2,1516,5,2,40,11,,"WOMEN LEADER",40,0
2,5,513,2,348,1,1,63,1,,,40,31
2,5,513,2,348,2,1,62,9,,,27,51
2,5,513,2,348,3,1,27,5,,,20,26
2,5,513,2,348,4,1,32,2,,,32,26
2,5,513,2,348,5,1,33,6,,,33,26
2,5,514,2,710,1,1,42,1,,,42,26
2,5,514,2,710,2,2,28,2,,,28,23
2,5,514,2,710,3,1,50,9,,,50,16
2,5,514,2,710,4,1,25,11,,"YOUTH LEADER",25,26
2,5,514,2,710,5,2,30,11,,"WOMAN LEADER",30,23
2,5,514,1,2036,1,1,42,1,,,42,34
2,5,514,1,2036,2,2,30,2,,,7,26
2,5,514,1,2036,3,1,85,9,,,85,26
2,5,514,1,2036,4,1,40,11,,"YOUTH LEADER",40,26
2,5,514,1,2036,5,2,37,11,,"WOMEN LEADER",37,26
2,5,515,2,18,1,1,66,1,1,,66,0
2,5,515,2,18,2,2,46,2,,,46,0
2,5,515,2,18,3,1,40,9,,,40,51
2,5,515,2,18,4,1,45,8,,,45,16
2,5,515,2,18,5,2,47,11,,"WOMEN LEADER",47,0
2,5,515,2,18,6,1,48,11,,"YOUYH LEADER",48,0
2,5,515,2,18,7,,,,,,,
2,5,516,2,942,1,1,55,1,,,55,61
2,5,516,2,942,2,2,40,2,,,40,16
2,5,516,2,942,3,1,65,9,,,65,51
2,5,516,2,942,4,1,50,8,,,50,61
2,5,516,2,942,5,2,35,11,,"WOMEN LEADER",35,51
2,5,516,2,942,6,1,32,11,,"YOUTH LEADER",32,61
2,5,518,2,1304,1,1,28,1,,,28,21
2,5,518,2,1304,2,2,32,11,,"WOMAN LAEDER",32,16
2,5,518,2,1304,3,1,32,9,,,32,51
2,5,518,2,1304,4,1,54,3,,,54,0
2,5,518,2,1304,5,1,29,8,,,29,16
2,5,518,2,1304,6,1,35,8,,,21,16
2,5,518,2,1588,1,1,53,1,,,53,1
2,5,518,2,1588,2,1,38,1,,,38,51
2,5,518,2,1588,3,1,70,3,,,67,51
2,5,518,2,1588,4,1,29,8,,,29,16
2,5,518,2,1588,5,1,42,4,,,42,26
2,5,520,2,1756,1,1,45,1,,,45,0
2,5,520,2,1756,2,2,35,2,,,35,0
2,5,520,2,1756,3,1,50,9,,,50,51
2,5,520,2,1756,4,1,37,11,,"YOUTH LEADER",37,16
2,5,520,2,1756,5,1,60,8,,,60,0
5,6,601,2,640,1,1,63,1,,,40,42
5,6,601,2,640,2,2,58,2,,,38,26
5,6,601,2,640,3,1,55,11,,"VICE CHAIRMAN(CDC)",55,26
5,6,601,2,640,4,2,58,11,,"WOMEN LEADER",35,34
5,6,601,2,640,5,2,56,4,,,30,42
5,6,601,2,640,6,1,40,11,,"MEMBER(CDC)",3,42
5,6,602,2,1356,1,1,58,1,,,17,26
5,6,602,2,1356,2,2,53,2,,,17,16
5,6,602,2,1356,3,1,50,11,,"CDC CHAIRMAN",34,42
5,6,602,2,1356,4,1,35,5,,,29,34
5,6,602,2,1356,5,1,39,11,,"CDC ADVISER",39,26
5,6,602,2,1356,6,2,43,11,,"WOMEN LEADER",33,26
5,6,605,2,162,1,1,35,1,,,35,26
5,6,605,2,162,2,2,27,2,,,2,42
5,6,605,2,162,3,1,39,3,,,30,26
5,6,605,2,162,4,1,41,11,,"CDC CHAIRMAN",20,26
5,6,605,2,162,5,2,45,11,,"WOMEN LEADER",15,26
5,6,605,2,162,6,1,38,11,,"YOUTH LEADER",30,34
5,6,606,2,1372,1,1,82,1,,,20,42
5,6,606,2,1372,2,2,58,11,,"WOMEN LEADER",38,16
5,6,606,2,1372,3,1,52,11,,"VICE CHAIRMAN(CDC)",52,16
5,6,606,2,1372,4,1,31,11,,"SECRETARY",31,34
