"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
4,4,413,2,1540,3,1020,1,3,1,1500,1,2000,2,,1,10000,
4,4,413,2,1540,4,1080,1,3,1,1000,1,1000,2,,1,5000,
4,4,413,2,1540,5,,2,,,,,,,,,,
4,4,413,2,1540,6,,2,,,,,,,,,,
4,4,414,1,2176,1,,1,1,1,1500,2,,2,,1,4000,15
4,4,414,1,2176,2,1120,1,1,1,1500,2,,2,,1,4000,15
4,4,414,1,2176,3,1020,1,1,1,1500,2,,2,,1,4000,15
4,4,414,1,2176,4,1040,1,1,1,1500,2,,2,,1,4000,15
4,4,414,1,2176,5,,1,1,2,,2,,2,,2,,
4,4,414,1,2176,6,,1,1,1,900,2,,2,,2,,
4,4,415,1,2108,1,,1,3,1,1500,1,1000,2,,2,,
4,4,415,1,2108,2,1120,1,3,1,1500,1,1100,2,,2,,
4,4,415,1,2108,3,1020,1,3,1,1500,1,1000,2,,2,,
4,4,415,1,2108,4,1040,1,3,1,1500,1,1000,2,,2,,
4,4,415,1,2108,5,,1,3,2,,2,,2,,2,,
4,4,415,1,2108,6,,1,3,1,700,1,1000,2,,2,,
4,4,419,2,296,1,,1,3,1,1000,1,1000,2,,2,,
4,4,419,2,296,2,1120,1,3,1,1500,1,1500,2,,2,,
4,4,419,2,296,3,1020,1,3,1,1500,1,1500,2,,2,,
4,4,419,2,296,4,1080,1,3,1,1000,1,1000,2,,2,,
4,4,419,2,296,5,,2,,,,,,,,,,
4,4,419,2,296,6,,1,3,1,1000,1,1000,2,,2,,
4,4,421,1,800,1,,1,3,1,2000,1,2000,2,,1,4000,
4,4,421,1,800,2,1120,1,3,1,2500,1,2500,2,,1,8000,20
4,4,421,1,800,3,1020,1,3,1,2500,1,2500,2,,1,8000,
4,4,421,1,800,4,1080,1,3,1,2000,1,2500,2,,1,5000,
4,4,421,1,800,5,,2,,,,,,,,,,
4,4,421,1,800,6,,2,,,,,,,,,,
2,5,501,2,60,1,,1,1,1,300,2,,1,200,1,1000,
2,5,501,2,60,2,1060,1,1,1,400,2,,1,300,1,6000,
2,5,501,2,60,3,1110,1,1,1,400,2,,1,300,1,6000,
2,5,501,2,60,4,1060,1,1,1,400,2,,1,200,1,4000,
2,5,501,2,60,5,,1,1,1,400,2,,1,300,1,4000,
2,5,501,2,60,6,,1,1,1,1000,2,,1,500,1,7000,50
2,5,502,1,2194,1,1080,1,3,1,500,1,400,1,300,1,3000,
2,5,502,1,2194,2,1080,1,3,1,500,1,400,1,300,1,3000,
2,5,502,1,2194,3,1070,1,3,1,500,1,400,1,300,1,3000,
2,5,502,1,2194,4,1110,1,3,1,500,1,400,1,300,1,6000,
2,5,502,1,2194,5,,1,3,1,500,1,400,1,300,1,3000,
2,5,502,1,2194,6,,1,3,1,700,1,500,1,300,1,8000,
2,5,502,2,3878,1,,1,3,1,800,2,,1,300,1,1000,
2,5,502,2,3878,2,1070,1,3,1,800,2,,1,300,1,1000,
2,5,502,2,3878,3,1080,1,3,1,800,2,,1,300,1,1000,
2,5,502,2,3878,4,1060,1,3,1,800,2,,1,300,1,1000,
2,5,502,2,3878,5,,1,3,1,800,2,,1,300,1,1000,
2,5,502,2,3878,6,,1,3,1,800,2,,1,300,1,3000,50
2,5,504,2,708,1,,2,,,,,,,,,,
2,5,504,2,708,2,1100,1,3,1,800,2,,2,,2,,
2,5,504,2,708,3,1070,1,3,1,700,2,,2,,2,,
2,5,504,2,708,4,1010,1,3,1,600,2,,2,,2,,
2,5,504,2,708,5,,2,,,,,,,,,,
2,5,504,2,708,6,,2,,,,,,,,,,
2,5,506,2,830,1,,1,3,1,400,1,300,1,200,,,
2,5,506,2,830,2,1060,1,3,1,600,1,350,1,250,,,
2,5,506,2,830,3,1070,1,3,1,600,1,350,1,250,,,
2,5,506,2,830,4,2220,1,3,1,600,1,350,1,200,,,
2,5,506,2,830,5,,1,3,1,600,1,350,1,200,,,
2,5,506,2,830,6,,1,3,1,600,1,350,1,300,,,
2,5,508,2,718,1,,1,1,1,400,1,400,1,200,1,2000,20
2,5,508,2,718,2,1110,1,3,1,500,1,500,1,250,1,3500,50
2,5,508,2,718,3,1060,1,3,1,500,1,500,1,250,1,3500,50
2,5,508,2,718,4,1070,1,3,1,500,1,500,1,250,1,3500,50
2,5,508,2,718,5,,1,3,1,500,1,500,1,250,1,2000,20
2,5,508,2,718,6,,1,3,1,600,1,500,1,300,1,5000,50
2,5,508,2,984,1,,1,1,1,300,2,,1,200,1,1000,
2,5,508,2,984,2,1060,1,1,1,400,2,,1,300,1,6000,
2,5,508,2,984,3,1110,1,1,1,400,2,,1,300,1,6000,
2,5,508,2,984,4,1070,1,1,1,300,2,,1,200,1,4000,
2,5,508,2,984,5,,1,1,1,400,2,,1,300,1,4000,
2,5,508,2,984,6,,1,1,1,1000,2,,1,500,1,7000,50
2,5,510,1,872,1,,2,,,,,,,,,,
2,5,510,1,872,2,1070,1,3,1,500,2,,2,,2,,
2,5,510,1,872,3,1100,1,2,1,500,2,,2,,2,,
2,5,510,1,872,4,1010,1,3,1,500,2,,2,,2,,
2,5,510,1,872,5,,2,,,,,,,,,,
2,5,510,1,872,6,,2,,,,,,,,,,
2,5,510,2,1516,1,,2,,,,,,,,,,
2,5,510,2,1516,2,1100,1,3,1,400,2,,2,,2,,
2,5,510,2,1516,3,1070,1,3,1,400,2,,2,,2,,
2,5,510,2,1516,4,1010,1,3,1,400,2,,2,,2,,
2,5,510,2,1516,5,,2,,,,,,,,,,
2,5,510,2,1516,6,,2,,,,,,,,,,
2,5,513,2,348,1,,1,1,1,300,2,,1,200,1,1000,
2,5,513,2,348,2,1060,1,1,1,400,2,,1,300,1,6000,
2,5,513,2,348,3,1110,1,1,1,400,2,,1,300,1,6000,
2,5,513,2,348,4,1070,1,1,1,300,2,,1,200,1,4000,
2,5,513,2,348,5,,1,1,1,400,2,,1,300,1,4000,
2,5,513,2,348,6,,1,1,1,1000,2,,1,500,1,7000,50
2,5,514,2,710,1,,2,,,,,,,,,,
2,5,514,2,710,2,1100,1,3,1,500,2,,2,,2,,
2,5,514,2,710,3,1070,1,3,1,500,2,,2,,2,,
