"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
1,7,722,2,234,1,2,,,,,,,,,,,
1,7,722,2,234,2,2,,,,,,,,,,,
1,7,722,2,234,3,1,1,1,12,10,11000,12,10,55000,12,11,111000
1,7,722,2,234,4,2,,,,,,,,,,,
1,7,722,2,892,1,2,,,,,,,,,,,
1,7,722,2,892,2,2,,,,,,,,,,,
1,7,722,2,892,3,1,1,1,12,10,11000,12,10,55000,12,11,111000
1,7,722,2,892,4,2,,,,,,,,,,,
2,8,802,2,1152,1,2,2,2,,,,,,,,,
2,8,802,2,1152,2,2,2,2,,,,,,,,,
2,8,802,2,1152,3,2,2,2,,,,,,,,,
2,8,802,2,1152,4,1,1,1,3,10,11000,6,10,55000,12,10,110000
2,8,803,1,944,1,2,2,2,,,,,,,,,
2,8,803,1,944,2,2,2,2,,,,,,,,,
2,8,803,1,944,3,2,2,2,,,,,,,,,
2,8,803,1,944,4,2,2,2,,,,,,,,,
2,8,805,2,46,1,1,1,1,1,21,12100,6,21,60500,12,21,121000
2,8,805,2,46,2,2,2,2,,,,,,,,,
2,8,805,2,46,3,2,2,2,,,,,,,,,
2,8,805,2,46,4,2,2,2,,,,,,,,,
2,8,807,2,946,1,2,2,2,,,,,,,,,
2,8,807,2,946,2,2,2,2,,,,,,,,,
2,8,807,2,946,3,2,2,2,,,,,,,,,
2,8,807,2,946,4,2,2,2,,,,,,,,,
2,8,807,2,1438,1,2,2,2,,,,,,,,,
2,8,807,2,1438,2,2,2,2,,,,,,,,,
2,8,807,2,1438,3,2,2,2,,,,,,,,,
2,8,807,2,1438,4,2,2,2,,,,,,,,,
2,8,807,2,2396,1,2,2,2,,,,,,,,,
2,8,807,2,2396,2,2,2,2,,,,,,,,,
2,8,807,2,2396,3,2,2,2,,,,,,,,,
2,8,807,2,2396,4,2,2,2,,,,,,,,,
2,8,809,2,1748,1,2,2,2,,,,,,,,,
2,8,809,2,1748,2,2,2,2,,,,,,,,,
2,8,809,2,1748,3,2,2,2,,,,,,,,,
2,8,809,2,1748,4,2,2,2,,,,,,,,,
2,8,811,2,390,1,2,2,2,,,,,,,,,
2,8,811,2,390,2,2,2,2,,,,,,,,,
2,8,811,2,390,3,2,2,2,,,,,,,,,
2,8,811,2,390,4,1,1,1,3,10,11000,6,20,20000,12,50,150000
2,8,811,1,1558,1,2,,,,,,,,,,,
2,8,811,1,1558,2,2,,,,,,,,,,,
2,8,811,1,1558,3,2,,,,,,,,,,,
2,8,811,1,1558,4,1,1,1,3,10,11000,6,10,55000,12,10,110000
2,8,812,2,866,1,1,1,1,3,21,12100,6,21,60500,12,21,121000
2,8,812,2,866,2,2,2,2,,,,,,,,,
2,8,812,2,866,3,2,2,2,,,,,,,,,
