"zone","state","lga","sector","ea","tenure_cd","c4q1","c4q2","c4q3","c4q4"
1,7,702,2,632,3,1,3,1,10000
1,7,702,2,632,4,2,4,,
1,7,702,2,632,5,2,4,,
1,7,702,2,632,6,1,1,2,150000
1,7,702,2,632,7,1,1,2,150000
1,7,705,2,4186,1,1,1,2,40000
1,7,705,2,4186,2,1,1,2,5000
1,7,705,2,4186,3,1,1,2,5000
1,7,705,2,4186,4,1,1,2,5000
1,7,705,2,4186,5,1,1,2,5000
1,7,705,2,4186,6,1,1,2,400000
1,7,705,2,4186,7,1,1,2,400000
1,7,707,2,560,1,1,1,2,100000
1,7,707,2,560,2,1,4,2,
1,7,707,2,560,3,1,4,2,
1,7,707,2,560,4,1,1,2,100000
1,7,707,2,560,5,1,1,2,100000
1,7,707,2,560,6,1,1,2,100000
1,7,707,2,560,7,1,1,2,100000
1,7,708,2,754,1,1,1,2,300000
1,7,708,2,754,2,1,1,2,300000
1,7,708,2,754,3,1,1,2,300000
1,7,708,2,754,4,1,1,2,5000
1,7,708,2,754,5,1,1,2,5000
1,7,708,2,754,6,1,1,2,400000
1,7,708,2,754,7,1,1,2,400000
1,7,709,2,1226,1,1,4,2,100000
1,7,709,2,1226,2,1,1,2,100000
1,7,709,2,1226,3,1,1,2,100000
1,7,709,2,1226,4,1,1,2,100000
1,7,709,2,1226,5,1,1,2,100000
1,7,709,2,1226,6,1,4,2,100000
1,7,709,2,1226,7,1,4,2,100000
1,7,710,2,2726,1,1,1,2,350000
1,7,710,2,2726,2,1,1,2,350000
1,7,710,2,2726,3,1,1,2,350000
1,7,710,2,2726,4,1,1,2,35000
1,7,710,2,2726,5,1,1,2,35000
1,7,710,2,2726,6,1,1,2,350000
1,7,710,2,2726,7,1,1,2,350000
1,7,711,2,2532,1,1,1,2,300000
1,7,711,2,2532,2,1,1,2,300000
1,7,711,2,2532,3,2,4,2,0
1,7,711,2,2532,4,1,1,2,300000
1,7,711,2,2532,5,1,1,2,300000
1,7,711,2,2532,6,1,1,2,300000
1,7,711,2,2532,7,1,1,2,300000
1,7,713,2,304,1,1,2,2,370000
1,7,713,2,304,2,1,1,2,200000
1,7,713,2,304,3,2,,,
1,7,713,2,304,4,1,2,1,100000
1,7,713,2,304,5,1,,,
1,7,713,2,304,6,1,1,2,370000
1,7,713,2,304,7,1,1,2,370000
1,7,715,1,294,1,,,,
1,7,715,1,294,2,1,1,2,200000
1,7,715,1,294,3,1,2,2,100000
1,7,715,1,294,4,1,2,2,50000
1,7,715,1,294,5,1,1,1,70000
1,7,715,1,294,6,1,1,1,200000
1,7,715,1,294,7,1,1,2,200000
1,7,715,2,780,1,1,1,2,300000
1,7,715,2,780,2,1,2,1,150000
1,7,715,2,780,3,2,,,
1,7,715,2,780,4,1,2,1,50000
1,7,715,2,780,5,2,,,
1,7,715,2,780,6,1,1,2,300000
1,7,715,2,780,7,1,1,2,150000
1,7,717,2,1248,1,1,1,2,50000
1,7,717,2,1248,2,1,1,2,30000
1,7,717,2,1248,3,2,,,
1,7,717,2,1248,4,1,2,2,30000
1,7,717,2,1248,5,2,,,
1,7,717,2,1248,6,1,1,2,50000
1,7,717,2,1248,7,1,1,2,50000
1,7,718,2,1640,1,1,1,2,200000
1,7,718,2,1640,2,1,1,2,150000
1,7,718,2,1640,3,1,,,70000
1,7,718,2,1640,4,1,2,2,100000
