"zone","state","lga","sector","ea","hhid","plotid","cropid","sa3q1","sa3q2","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a","sa3q6b","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q18","sa3q19a","sa3q19b","sa3q20a","sa3q20b","sa3q21a","sa3q21b","sa3q22a","sa3q22b","sa3q23a","sa3q23b","trackingobs"
4,1,106,2,880,10029,3,1,"YAM",1120,1,,,1000,1,10,11,2,,,1,"N1",2,11,6000,1,2,,,,,,,20000,0,,3,11,0,,0.5,11,0,,0
4,1,106,2,880,10029,3,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,3,3,"MAIZE.",1080,1,,,1000,1,10,21,2,,,1,"N1",3,21,1500,1,2,,,,,,,11000,0,,2,21,0,,1,21,1,21,0
4,1,106,2,880,10029,3,4,"PLANTAIN",2170,1,,,12,3,12,42,2,,,1,"N1",4,42,2400,1,2,,,,,,,8000,0,,0,,0,,0,,0,,0
4,1,106,2,880,10029,3,5,"PINEAPPLE",2160,1,,,20,3,2,22,2,,,1,"N1",1.5,22,4500,1,2,,,,,,,10000,0,,0,,0,,0,,0,,0
4,1,106,2,880,10029,3,6,"COCONUT",3050,1,,,5,1,2.5,21,2,,,1,"N1",2,21,3000,1,2,,,,,,,4000,0,,0,,0,,0,,0,,0
4,1,106,2,880,10029,3,7,"PALM TREE",3180,1,,,20,3,5,92,2,,,2,,,,,,,,,,,,,50000,0,,0,,0,,14,21,0,,0
4,1,106,2,880,10029,3,8,"ORANGE",3170,1,,,4,3,2,21,2,,,1,"N1",2,21,2500,1,2,,,,,,,2500,5,92,0,,0,,0,,0,,0
4,1,106,2,880,10029,3,9,"GUAVA",3090,1,,,2,3,12,21,2,,,2,,,,,,,,,,,,,1500,0,,0,,0,,0,,0,,0
4,1,106,2,880,10030,1,1,"YAM.",1120,1,,,2000,1,5,32,2,,,2,,,,,,,,,,,,,15000,0,,1,32,0,,0,,0,,0
4,1,106,2,880,10030,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,3,"MELON",1090,1,,,2000,1,4,31,2,,,2,,,,,,,,,,,,,10000,0,,1,31,0,,1.5,31,0.5,31,0
4,1,106,2,880,10030,2,1,"YAM",1120,1,,,2500,1,6,31,2,,,2,,,,,,,,,,,,,20000,0,,2,31,0,,0,,0,,0
4,1,106,2,880,10030,2,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,3,"BANANA",2030,1,,,15,3,10,41,2,,,2,,,,,,,,,,,,,15000,0,,0,,0,,1,41,0,,0
4,1,111,1,1146,10034,1,1,"YAM",1120,1,,,80,3,1,11,2,,,2,,,,,,,,,,,,,1800,0,,0,,0,,0,,0,,0
4,1,111,1,1146,10034,1,2,"MAIZE",1080,1,,,,,1,11,2,,,2,,,,,,,,,,,,,500,0,,0,,0,,0,,0,,0
4,1,111,1,1146,10034,1,3,"PUMKIN",2193,1,,,,,2,61,2,,,2,,,,,,,,,,,,,100,0,,0,,0,,0,,0,,0
4,1,111,1,1146,10034,1,4,"MANGO",3160,1,,,,,2,21,2,,,1,"N1",2,21,3000,1,2,,,,,,,4000,0,,0,,0,,0,,0,,0
4,1,111,1,1146,10034,1,5,"COCONUT",3050,1,,,,,1,11,2,,,1,"N2",1,11,2000,1,2,,,,,,,0,0,,0,,0,,0,,0,,0
4,1,111,1,1146,10039,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10039,1,2,"MAIZE",1080,1,,,30,3,20,1,2,,,2,,,,,,,,,,,,,500,0,,0,,0,,0,,0,,0
4,1,107,2,1044,10061,1,1,"GARDEN EGG",2080,1,,,3650,1,24,11,2,,,1,"N1",10,11,18000,1,1,"N2",,,10,11,18000,36000,0,,1,11,0,,2,11,1,11,0
4,1,107,2,1044,10061,1,2,"PEPPER",2140,1,,,300,1,21,11,2,,,1,"N1",10,11,3000,1,1,"N2",,,10,11,18000,3000,0,,,,,,,,,,0
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,"MAIZE",1080,1,,,120,3,3,11,2,,,1,"N1",3,11,2250,1,2,,,,,,,2250,0,,1,11,0,,0,,1,11,0
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,3,2,"MAIZE",1080,1,,,150,3,4,11,2,,,1,"N1",2,11,1500,1,2,,,,,,,3000,0,,1,11,0,,0,,1,11,0
4,1,107,2,1044,10061,4,1,"FALLOW FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,"MAIZE",1080,1,,,200,3,4,11,2,,,1,"N1",2,11,3200,1,2,,,,,,,6400,0,,1,11,0,,0,,0,,0
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,2,"YAM",1120,1,,,60,3,5,11,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,3,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,4,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,5,1,"FALLOW FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,2,"MAIZE",1080,1,,,3000,3,4,21,2,,,2,,,,,,,,,,,,,7000,0,,1,21,0,,2,21,0,,0
4,1,107,2,1044,10063,1,3,"MELON",1090,1,,,,,10,21,2,,,1,"N1",6,21,3000,1,2,,,,,,,5000,4,21,1,21,0,,1,21,0,,0
4,1,107,2,1044,10063,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,2,"MAIZE",1080,1,,,900,3,15,11,2,,,1,"N1",5,11,1500,1,2,,,,,,,4500,3,11,4,11,0,,1,11,2,11,0
4,1,107,2,1044,10063,2,3,"PEPPER",2140,1,,,900,3,5,31,2,,,1,"N1",2,31,600,1,2,,,,,,,1500,2,31,0.5,31,0.5,31,0,,,,0
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,"PUMKIN",2193,1,,,700,3,25,62,2,,,1,"N1",10,52,3000,1,1,"N2",,,5,62,2500,10000,7,62,0,,1,62,2,62,0,,0
4,1,107,2,1044,10063,3,3,"OIL PALM TREE",3180,1,,,,,90,42,2,,,2,,,,,,,,,,,,,30000,90,42,0,,0,,0,,0,,0
4,1,107,2,1044,10063,4,1,"FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,1,"YAM",1121,1,,,300,1,6,11,2,,,2,,,,,,,,,,,,,12000,0,,3,11,0,,1,11,0,,0
4,1,107,2,1044,10064,1,2,"MAIZE",1080,1,,,900,3,7,21,2,,,2,,,,,,,,,,,,,3500,0,,1,21,0,,2,21,0,,0
4,1,107,2,1044,10064,1,3,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,1,"MAIZE",1080,1,,,950,3,5,21,2,,,2,,,,,,,,,,,,,2500,0,,0,,0,,1,11,0,,0
4,1,107,2,1044,10064,2,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,2,"GARDEN EGG",2080,1,,,1000,3,1,12,2,,,2,,,,,,,,,,,,,300,0,,0,,0,,0,,3,12,0
4,1,107,2,1044,10064,3,3,"PUMKIN",2193,1,,,640,3,7,61,2,,,2,,,,,,,,,,,,,1750,0,,0,,0,,0,,0,,0
4,1,107,2,1044,10065,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,1,2,"MAIZE",1080,1,,,950,3,8,31,2,,,2,,,,,,,,,,,,,5000,0,,1,31,0,,1,31,0,,0
4,1,107,2,1044,10065,1,3,"YAM",1121,1,,,200,1,5,12,2,,,2,,,,,,,,,,,,,10000,0,,3,12,0,,0,,0,,0
4,1,107,2,1044,10065,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,2,2,"GRADEN EGG",2080,1,,,900,3,1,11,2,,,2,,,,,,,,,,,,,300,0,,0,,0,,0,,4,11,0
4,1,107,2,1044,10065,2,3,"PUMKIN",2193,1,,,500,3,15,61,2,,,2,,,,,,,,,,,,,2250,0,,0,,0,,1,61,0,,0
