"zone","state","lga","sector","ea","hhid","item_cd","item_seq","specify","sa4q1","trackingobs"
5,3,305,2,1542,30122,321,2,"SHOVEL IMPORTED",2,0
5,3,305,2,1542,30122,321,3,"BASIN",1,0
5,3,305,2,1542,30123,318,1,,1,0
5,3,305,2,1542,30123,319,1,,2,0
5,3,305,2,1542,30123,320,1,,2,0
5,3,305,2,1542,30123,321,1,"ENAMALE",4,0
5,3,305,2,1542,30124,318,1,,1,0
5,3,305,2,1542,30124,319,1,,1,0
5,3,305,2,1542,30124,320,1,,1,0
5,3,305,2,1542,30125,319,1,,2,0
5,3,305,2,1542,30125,320,1,,2,0
5,3,305,2,1542,30126,319,1,,1,0
5,3,305,2,1542,30126,320,1,,1,0
5,3,305,2,1542,30127,319,1,,1,0
5,3,305,2,1542,30127,320,1,,1,0
5,3,305,2,1542,30128,318,1,,1,0
5,3,305,2,1542,30128,319,1,,5,0
5,3,305,2,1542,30128,320,1,,10,0
5,3,305,2,1542,30128,321,1,"SHOVEL",2,0
5,3,305,2,1542,30129,319,1,,1,0
5,3,305,2,1542,30130,319,1,,3,0
5,3,305,2,1542,30130,320,1,,3,0
5,3,312,2,20,30131,318,1,,1,0
