"zone","state","lga","sector","ea","hhid","item_cd","sa7q1","sa7q2","sa7q3","sa7q4a","sa7q4b","sa7q5"
2,15,1506,1,398,150002,6,1,2000,,"N3",,2
2,15,1508,2,1682,150012,1,1,30000,,"N3",,2
2,15,1508,2,1682,150012,2,1,20000,,"N4",,2
2,15,1508,2,1682,150012,3,1,20000,,"N5",,2
2,15,1508,2,1682,150012,6,1,500,,"N6",,2
2,15,1508,2,1682,150012,8,1,10000,,"N7",,2
2,15,1508,2,1682,150013,3,1,400,,"N1",,2
2,15,1508,2,1682,150014,3,1,500,,"N1",,2
2,15,1508,2,1682,150014,7,1,250,,"N1",,
2,15,1508,2,1682,150015,1,1,6000,,"N4",,
2,15,1508,2,1682,150015,2,1,9000,,"N1",,
2,15,1508,2,1682,150015,3,1,3000,,"N2",,
2,15,1508,2,1682,150015,6,1,2000,,"N3",,
2,15,1508,2,1682,150017,2,1,1500,,"N2",,2
2,15,1508,2,1682,150017,3,1,3000,,"N3",,2
2,15,1508,2,1682,150018,3,1,300,9,,,2
2,15,1511,2,1938,150021,2,1,2900,,"N3",,2
2,15,1511,2,1938,150021,6,1,400,,"N4",,2
2,15,1511,2,1938,150022,3,1,1500,,,,2
2,15,1511,2,1938,150027,3,1,400,,"N2",,2
2,15,1511,2,1938,150030,2,1,5000,,"N2",,2
2,15,1511,2,1938,150030,3,1,1000,,"N2",,2
2,15,1502,2,590,150032,3,1,600,,"N2",,2
2,15,1502,2,590,150038,1,1,,80000,"N3",,2
2,15,1502,2,590,150038,3,1,25000,,"N2",,2
2,15,1502,2,590,150038,4,1,35000,,"N3",,2
2,15,1502,2,590,150038,7,1,4000,,"N4",,
2,15,1502,2,590,150038,9,1,10000,,"N4",,
2,15,1502,2,590,150039,2,1,1000,,"N3",,2
2,15,1502,2,590,150039,3,1,300,,"N2",,2
2,15,1502,2,590,150039,6,1,400,,"N4",,2
2,15,1502,2,590,150040,2,1,2500,,"N2",,2
2,15,1502,2,590,150040,6,1,500,,"N3",,2
