"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,108,2,904,10103,1,1,36,5,6,2,36,5,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10103,2,1,36,5,6,2,36,5,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10103,3,1,36,5,6,2,36,5,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10103,4,1,36,5,6,2,36,5,6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10103,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10105,1,1,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10106,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10106,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10106,3,1,,,,,,,,1,4,4,4,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10106,4,1,,,,,,,,,,,,1,4,4,4,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10107,1,1,3,2,2,2,2,2,2,3,2,1,2,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10107,2,1,2,2,3,2,3,2,2,3,2,1,1,4,2,2,2,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10107,3,1,3,2,2,2,2,2,2,3,2,2,2,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10107,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10108,1,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
4,1,108,2,904,10108,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
