"zone","state","lga","sector","ea","hhid","item_cd","item_seq","sa4q2","sa4q3","sa4q4","sa4q5a","sa4q5b","sa4q5c","sa4q6","sa4q7","sa4q8","trackingobs"
2,2,205,2,712,20102,319,1,98,6,600,1,3,6,2,,,0
2,2,205,2,712,20102,320,1,98,1,200,1,2,8,2,,,0
2,2,205,2,712,20103,320,1,6,3,300,1,2,3,2,,,0
2,2,205,2,712,20104,319,1,98,2,700,1,2,3,2,,,0
2,2,205,2,712,20104,320,1,98,1,200,1,2,3,2,,,0
2,2,205,2,712,20105,320,1,1,12,100,1,,,2,,,0
2,2,205,2,712,20106,320,1,1,2,250,1,2,3,2,,,0
2,2,205,2,712,20107,319,1,98,4,500,1,2,,2,,,0
2,2,205,2,712,20107,320,1,98,2,150,1,2,5,2,,,0
2,2,205,2,712,20108,319,1,,2,800,1,6,8,2,,,0
2,2,205,2,712,20108,320,1,,1,250,1,2,6,2,,,0
2,2,205,2,712,20109,320,1,1,2,200,1,2,,2,,,0
2,2,205,2,712,20110,319,1,1,1,200,1,2,3,2,,,0
2,2,205,2,712,20110,320,1,1,3,350,1,2,3,2,,,0
2,2,218,2,1592,20111,319,1,1,2,300,1,3,,2,,,0
2,2,218,2,1592,20111,320,1,1,3,200,1,3,,2,,,0
2,2,218,2,1592,20112,319,1,1,4,800,1,,,2,,,0
2,2,218,2,1592,20112,320,1,1,2,200,1,,,2,,,0
2,2,218,2,1592,20113,310,1,4,15,7500,1,6,,2,,,0
2,2,218,2,1592,20113,319,1,98,4,500,1,6,4,2,,,0
2,2,218,2,1592,20113,320,1,98,2,250,1,6,4,2,,,0
2,2,218,2,1592,20114,319,1,1,1,200,1,5,,2,,,0
2,2,218,2,1592,20114,320,1,1,1,250,1,5,,2,,,0
2,2,218,2,1592,20115,320,1,1,1,400,1,,,2,,,0
2,2,218,2,1592,20116,320,1,1,2,300,1,,,2,,,0
2,2,218,2,1592,20118,302,1,1,15,4000,1,,,2,,,0
2,2,218,2,1592,20118,319,1,1,2,600,1,,,2,,,0
