"zone","state","lga","sector","ea","hhid","animal_cd","sa6q1a","sa6q1b","sa6q2","sa6q3","sa6q4a","sa6q4b","sa6q5a","sa6q5b","sa6q6","sa6q7","sa6q8a","sa6q8b","sa6q9","sa6q10","sa6q11","sa6q12","sa6q13","sa6q14a","sa6q14b","sa6q15","sa6q16","sa6q17","sa6q18","sa6q19","sa6q20a","sa6q20b","sa6q21","sa6q22","sa6q23","sa6q24a1","sa6q24a2","sa6q24a3","sa6q25a1","sa6q25a2","sa6q25a3","sa6q26","sa6q27a","sa6q27b","sa6q28a","sa6q28b","sa6q28c","sa6q28d","trackingobs"
2,2,216,2,200,20040,110,1,,8,6000,2,1,5,2,2,,,,2,0,0,0,,,,0,0,4,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,203,2,1224,20041,110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20041,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20042,110,1,,2,5000,1,,1,,2,,,,5,,,,,,,,,1,2,11000,"N1",,,1,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20042,114,1,,4,500,1,,1,,2,,,,12,,,,,,,,,6,,,,,,6,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20043,114,1,,,,1,2,1,2,2,,,,8,,,,,,,,,,,,,,,,1,1,,,12,,,,,,,,,,0
2,2,203,2,1224,20044,101,1,,4,50000,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,102,1,,4,40000,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,103,1,,4,20000,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,106,1,,3,6500,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,107,1,,4,120000,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,110,1,,20,6000,1,,1,,1,1,1,,5,,,,,,,,,,5,30000,"N4",,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,111,1,,6,9000,1,,1,,1,1,1,,2,,,,,,,,,,2,18000,"N5",,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20044,114,1,,5,500,1,,1,,1,1,1,,15,,,,,,,,,,,,,,,5,1,4,,,10,,,,,,,,,,0
2,2,203,2,1224,20045,105,1,,8,50000,1,,1,4,2,,,,1,,,,,,,,,,1,50000,"N3",,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20045,110,1,,4,6000,1,,1,4,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20045,114,1,,3,600,1,3,1,3,2,,,,10,,,,,,,,,,,,,,,4,1,1,,,18,,,,,,,,,,0
2,2,203,2,1224,20046,110,1,,16,5000,1,,1,,2,,,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20047,105,1,,8,75000,1,,1,9,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20047,106,1,,7,90000,1,,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20047,110,1,,8,6000,1,,1,9,2,,,,4,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,0
2,2,203,2,1224,20047,111,1,,2,7000,1,,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20047,114,1,,5,400,1,,1,9,2,,,,16,,,,,,,,,10,,,,,,6,,,,,,,,,,,,,,,0
2,2,203,2,1224,20048,110,1,,,8000,1,2,3,2,2,,,,3,,,,,,,,,,2,17000,"N4",,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20048,111,1,,,12000,1,2,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,107,1,,1,30000,1,,3,15,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,110,1,,4,5000,1,,1,,2,,,,4,,,,,,,,,1,1,6000,"N1",,,2,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,111,1,,2,6000,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,114,1,,2,300,1,,1,,2,,,,16,,,,,,,3,,5,2,1200,"N1",,,4,2,,,,,,,,,,,,,,0
2,2,203,2,1224,20050,114,1,,,,1,,1,2,2,,,,13,0,,,,,,,,,,,,,,,1,1,,,16,,,,,,,,,,0
2,2,212,2,956,20051,105,1,,21,40000,1,6,1,2,2,,,,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,21,"N6",,4,7,8,,0
2,2,212,2,956,20051,110,1,,26,6000,1,2,1,2,2,,,,6,0,0,0,,,,0,0,0,2,18500,"N5",,0,0,2,,,,,,,26,"N6",,4,8,9,,0
2,2,212,2,956,20051,111,1,,17,8000,1,2,1,2,2,,,,2,0,0,0,,,,1,0,0,1,12000,"N5",,0,1,2,,,,,,,17,"N6",,4,8,9,,0
2,2,212,2,956,20051,114,1,,22,600,1,2,1,2,2,,,,11,0,0,0,,,,3,0,0,2,1100,"N5",,0,1,2,,,,,,,0,,,,,,,0
2,2,212,2,956,20052,105,1,,43,80000,1,3,3,,2,,,,3,0,0,0,,,,0,1,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,212,2,956,20052,106,1,,16,85000,1,3,3,,2,,,,0,0,0,0,,,,0,0,0,1,30000,"N1",,0,0,2,,,,,,,0,,,,,,,0
