"zone","state","lga","sector","ea","resource_cd","resource_specify","c4q1","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4d","c4q5a","c4q5b","c4q5c"
5,9,905,2,978,402,,2,,,,,,,,,
5,9,905,2,978,403,,2,,,,,,,,,
5,9,905,2,978,404,,2,,,,,,,,,
5,9,907,2,1446,401,,2,,,,,,,,,
5,9,907,2,1446,402,,1,1,1,2,,,,7,,
5,9,907,2,1446,403,,2,,,,,,,,,
5,9,907,2,1446,404,,2,,,,,,,,,
5,9,908,1,278,401,,2,,,,,,,,,
5,9,908,1,278,402,,2,,,,,,,,,
5,9,908,1,278,403,,2,,,,,,,,,
5,9,908,1,278,404,,2,,,,,,,,,
5,9,908,1,278,405,,2,,,,,,,,,
5,9,910,2,200,401,,2,,,,,,,,,
5,9,910,2,200,402,,2,,,,,,,,,
5,9,910,2,200,403,,2,,,,,,,,,
5,9,910,2,200,404,,2,,,,,,,,,
5,9,912,2,102,401,,2,,,,,,,,,
5,9,912,2,102,402,,2,,,,,,,,,
5,9,912,2,102,403,,2,,,,,,,,,
5,9,912,2,102,404,,2,,,,,,,,,
5,9,913,2,2266,401,,2,,,,,,,,,
5,9,913,2,2266,402,,2,,,,,,,,,
5,9,913,2,2266,403,,2,,,,,,,,,
5,9,913,2,2266,404,,2,,,,,,,,,
5,9,913,2,2266,405,,2,,,,,,,,,
5,9,914,2,1746,401,,2,,,,,,,,,
5,9,914,2,1746,402,,2,,,,,,,,,
5,9,914,2,1746,403,,2,,,,,,,,,
5,9,914,2,1746,404,,2,,,,,,,,,
5,9,915,1,1390,401,,2,,,,,,,,,
5,9,915,1,1390,402,,2,,,,,,,,,
5,9,915,1,1390,403,,2,,,,,,,,,
5,9,915,1,1390,404,,2,,,,,,,,,
5,9,916,2,1068,401,,2,,,,,,,,,
5,9,916,2,1068,402,,2,,,,,,,,,
5,9,916,2,1068,403,,2,,,,,,,,,
5,9,916,2,1068,404,,2,,,,,,,,,
5,9,917,1,1254,401,,2,,,,,,,,,
5,9,917,1,1254,402,,2,,,,,,,,,
5,9,917,1,1254,403,,2,,,,,,,,,
5,9,917,1,1254,404,,1,1,1,1,,,,1,2,3
5,9,918,2,834,401,,2,,,,,,,,,
5,9,918,2,834,402,,2,,,,,,,,,
5,9,918,2,834,403,,2,,,,,,,,,
5,9,918,2,834,404,,2,,,,,,,,,
5,10,1001,2,172,401,,1,1,1,1,,,,1,,
5,10,1005,1,662,401,,2,,,,,,,,,
5,10,1005,1,662,402,,1,2,2,4,,,,8,,
5,10,1005,1,662,403,,2,,,,,,,,,
5,10,1005,1,662,404,,1,2,2,4,,,,8,,
5,10,1005,1,662,405,,2,,,,,,,,,
5,10,1005,2,1374,401,,2,,,,,,,,,
5,10,1005,2,1374,402,,1,2,2,4,,,,8,,
5,10,1005,2,1374,403,,2,,,,,,,,,
5,10,1005,2,1374,404,,1,2,2,4,,,,8,,
5,10,1005,2,1374,405,,2,,,,,,,,,
5,10,1007,1,1166,401,,1,1,1,1,,,,1,,
5,10,1008,2,1314,401,,1,1,1,1,,,,1,,
5,10,1008,2,1718,401,,1,1,1,1,,,,1,,
5,10,1010,2,20,401,,2,,,,,,,,,
5,10,1010,2,20,402,,1,2,2,4,,,,8,,
5,10,1010,2,20,403,,2,,,,,,,,,
5,10,1010,2,20,404,,1,2,2,4,,,,8,,
5,10,1010,2,20,405,,2,,,5,,,,,,
5,10,1012,2,936,401,,1,2,2,4,,,,4,,
5,10,1012,2,936,404,,1,2,2,4,,,,4,,
5,10,1014,2,80,401,,1,1,1,1,2,,,1,3,
5,10,1014,2,80,402,,1,1,1,1,2,,,1,3,
5,10,1014,2,80,403,,1,1,1,1,2,,,1,3,
5,10,1014,2,80,404,,1,1,1,1,2,,,1,3,
5,10,1018,1,634,401,,2,,,,,,,,,
5,10,1018,1,634,402,,1,2,2,4,,,,8,,
5,10,1018,1,634,403,,2,,,,,,,,,
5,10,1018,1,634,404,,1,2,2,4,,,,8,,
5,10,1018,2,898,401,,2,,,,,,,,,
5,10,1018,2,898,402,,1,2,2,4,,,,8,,
