"zone","state","lga","sector","ea","amenities_cd","c5q1"
5,3,307,1,634,504,3
5,3,307,1,634,505,3
5,3,307,1,634,506,4
5,3,307,1,634,507,3
5,3,307,1,634,508,3
5,3,307,1,634,509,3
5,3,307,1,634,510,3
5,3,307,1,634,511,4
5,3,307,1,634,512,5
5,3,307,1,634,513,4
5,3,307,1,634,514,4
5,3,307,1,634,515,3
5,3,307,1,634,516,4
5,3,307,1,634,517,4
5,3,307,1,634,518,4
5,3,307,1,634,519,4
5,3,307,1,634,520,5
5,3,307,1,634,521,3
5,3,307,1,634,522,5
5,3,307,1,634,523,5
5,3,307,1,634,524,6
5,3,307,1,634,525,6
5,3,307,1,634,526,3
5,3,307,1,634,527,3
5,3,307,1,634,528,3
5,3,307,1,634,529,3
5,3,307,1,634,530,3
5,3,307,1,634,531,4
5,3,307,1,634,532,4
5,3,307,1,634,533,3
5,3,307,1,634,534,3
5,3,309,2,478,501,3
5,3,309,2,478,502,4
5,3,309,2,478,503,3
5,3,309,2,478,504,3
5,3,309,2,478,505,3
5,3,309,2,478,506,3
5,3,309,2,478,507,3
5,3,309,2,478,508,3
5,3,309,2,478,509,3
5,3,309,2,478,510,3
5,3,309,2,478,511,4
5,3,309,2,478,512,5
5,3,309,2,478,513,4
5,3,309,2,478,514,4
5,3,309,2,478,515,3
5,3,309,2,478,516,4
5,3,309,2,478,517,4
5,3,309,2,478,518,4
5,3,309,2,478,519,4
5,3,309,2,478,520,5
5,3,309,2,478,521,3
5,3,309,2,478,522,4
5,3,309,2,478,523,4
5,3,309,2,478,524,6
5,3,309,2,478,525,6
5,3,309,2,478,526,3
5,3,309,2,478,527,3
5,3,309,2,478,528,3
5,3,309,2,478,529,3
5,3,309,2,478,530,3
5,3,309,2,478,531,3
5,3,309,2,478,532,4
5,3,309,2,478,533,3
5,3,309,2,478,534,3
5,3,312,2,20,501,3
5,3,312,2,20,502,3
5,3,312,2,20,503,6
5,3,312,2,20,504,6
5,3,312,2,20,505,3
5,3,312,2,20,506,3
5,3,312,2,20,507,3
5,3,312,2,20,508,3
5,3,312,2,20,509,3
5,3,312,2,20,510,3
5,3,312,2,20,511,4
5,3,312,2,20,512,5
5,3,312,2,20,513,3
5,3,312,2,20,514,4
5,3,312,2,20,515,3
5,3,312,2,20,516,3
5,3,312,2,20,517,3
5,3,312,2,20,518,3
5,3,312,2,20,519,3
5,3,312,2,20,520,3
5,3,312,2,20,521,3
5,3,312,2,20,522,4
5,3,312,2,20,523,4
5,3,312,2,20,524,6
5,3,312,2,20,525,6
5,3,312,2,20,526,3
5,3,312,2,20,527,2
5,3,312,2,20,528,3
5,3,312,2,20,529,3
5,3,312,2,20,530,3
