"zone","state","lga","sector","ea","item_cd","itemspecify","sc7q1","sc7q2a","sc7q2b","sc7q3","sc7q4a","sc7q4b","sc7q4c","sc7q4d","sc7q4e","sc7q4f","sc7q5","sc7q6a","sc7q6b","sc7q6c","sc7q6d","sc7q6e","sc7q6f","sc7q7","sc7q8a","sc7q8b","sc7q8c","sc7q8d","sc7q8e","sc7q8f"
2,2,212,2,956,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,212,2,956,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,706,,1,4,,1,1,2,3,,,,1,2,2,2,1,2,,1,1,2,1,2,1,1
2,2,214,2,898,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,708,,1,4,,1,1,2,3,,,,1,2,2,2,1,2,,1,1,2,1,2,1,1
2,2,214,2,898,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,214,2,898,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,215,1,8,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,705,,1,1,,1,1,3,,,,,2,,,,,,,,,,,,,
2,2,216,2,200,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,218,2,1592,701,,2,,,,,,,,,,,,,,,,,,,,,,,
