"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
5,3,301,1,1198,304,,2,,,,,,
5,3,301,1,1198,305,,1,2,2,,67,67,2
5,3,301,1,1198,306,,1,1,6,,36,12,36
5,3,301,1,1198,307,,1,2,2,,75,23,8
5,3,301,1,1198,308,,1,2,6,,30,9,9
5,3,301,1,1198,309,,2,,,,,,
5,3,301,1,1198,310,,2,,,,,,
5,3,301,1,1198,311,,1,1,3,,40,15,10
5,3,301,1,1198,312,,2,,,,,,
5,3,301,1,1198,313,,1,2,1,,27,0,10
5,3,301,1,1198,314,,2,,,,,,
5,3,301,1,1198,315,,2,,,,,,
5,3,305,2,4,301,,1,1,6,,7,2,0
5,3,305,2,4,302,,2,,,,,,
5,3,305,2,4,303,,2,,,,,,
5,3,305,2,4,304,,2,,,,,,
5,3,305,2,4,305,,1,1,1,,85,85,21
5,3,305,2,4,306,,1,1,2,,48,16,48
5,3,305,2,4,307,,1,2,2,,65,12,16
5,3,305,2,4,308,,2,,,,,,
5,3,305,2,4,309,,2,,,,,,
5,3,305,2,4,310,,2,,,,,,
5,3,305,2,4,311,,1,,3,,5,5,0
5,3,305,2,4,312,,2,,,,,,
5,3,305,2,4,313,,1,1,1,,15,0,0
5,3,305,2,4,314,,2,,,,,,
5,3,305,2,4,315,,,,,,,,
5,3,305,2,1542,301,,1,1,1,,14,0,0
5,3,305,2,1542,302,,2,,,,,,
5,3,305,2,1542,303,,1,1,3,,60,60,0
5,3,305,2,1542,304,,2,,,,,,
5,3,305,2,1542,305,,1,5,2,,80,80,4
5,3,305,2,1542,306,,2,,,,,,
5,3,305,2,1542,307,,1,2,2,,40,0,14
5,3,305,2,1542,308,,1,2,2,,50,21,7
5,3,305,2,1542,309,,2,,,,,,
5,3,305,2,1542,310,,2,,,,,,
5,3,305,2,1542,311,,1,1,3,,15,6,0
5,3,305,2,1542,312,,2,,,,,,
5,3,305,2,1542,313,,1,1,2,,18,0,0
5,3,305,2,1542,314,,2,,,,,,
5,3,305,2,1542,315,,2,,,,,,
5,3,307,1,634,301,,2,,,,,,
5,3,307,1,634,302,,2,,,,,,
5,3,307,1,634,303,,2,,,,,,
5,3,307,1,634,304,,2,,,,,,
5,3,307,1,634,305,,1,2,2,,60,68,3
5,3,307,1,634,306,,2,,,,,,
5,3,307,1,634,307,,1,3,2,,26,12,3
5,3,307,1,634,308,,2,,,,,,
5,3,307,1,634,309,,2,,,,,,
5,3,307,1,634,310,,2,,,,,,
5,3,307,1,634,311,,1,3,3,,11,2,0
5,3,307,1,634,312,,2,,,,,,
5,3,307,1,634,313,,2,,,,,,
5,3,307,1,634,314,,2,,,,,,
5,3,312,2,20,301,,2,,,,,,
5,3,312,2,20,302,,2,,,,,,
5,3,312,2,20,303,,2,,,,,,
5,3,312,2,20,304,,2,,,,,,
5,3,312,2,20,305,,1,2,2,,50,56,6
5,3,312,2,20,306,,1,1,2,,24,0,24
5,3,312,2,20,307,,1,3,2,,28,0,19
5,3,312,2,20,308,,2,,,,,,
5,3,312,2,20,309,,2,,,,,,
5,3,312,2,20,310,,2,,,,,,
5,3,312,2,20,311,,1,1,3,,15,4,0
5,3,312,2,20,312,,2,,,,,,
5,3,312,2,20,313,,2,,,,,,
5,3,312,2,20,314,,2,,,,,,
5,3,312,2,20,315,,2,,,,,,
5,3,313,2,70,301,,1,22,2,,220,,20
5,3,313,2,70,302,,2,,,,,,
5,3,313,2,70,303,,1,11,2,,160,25,32
5,3,313,2,70,304,,2,,,,,,
5,3,313,2,70,305,,1,11,2,,45,45,11
5,3,313,2,70,306,,1,11,2,,110,38,52
5,3,313,2,70,307,,1,33,2,,60,12,3
5,3,313,2,70,308,,1,33,2,,36,17,10
5,3,313,2,70,309,,2,,,,,,
5,3,313,2,70,310,,2,,,,,,
5,3,313,2,70,311,,1,1,3,,500,23,12
5,3,313,2,70,312,,2,,,,,,
5,3,313,2,70,313,,2,,,,,,
5,3,313,2,70,314,,1,11,3,,5,2,0
5,3,316,2,874,301,,1,1,2,,10,0,0
5,3,316,2,874,302,,2,,,,,,
5,3,316,2,874,303,,2,,,,,,
