"zone","state","lga","sector","ea","pid","sc1q2","sc1q3","sc1q5","sc1q6"
2,8,812,2,866,3,1,65,65,14
2,8,812,2,866,4,1,48,48,23
2,8,812,2,866,5,1,80,80,14
2,8,812,2,866,6,1,52,52,15
2,8,813,2,2094,1,1,55,55,51
2,8,813,2,2094,2,2,46,25,0
2,8,813,2,2094,3,1,36,36,34
2,8,813,2,2094,4,1,40,40,16
2,8,813,2,2094,5,1,60,60,51
2,8,813,2,2094,6,1,52,52,51
2,8,815,2,362,1,1,42,10,42
2,8,815,2,362,2,1,47,47,42
2,8,815,2,362,3,2,40,40,41
2,8,815,2,362,4,1,72,72,34
2,8,815,2,362,5,1,78,78,52
2,8,816,2,1270,1,1,50,50,51
2,8,816,2,1270,2,2,41,30,51
2,8,816,2,1270,3,1,65,65,51
2,8,816,2,1270,4,1,55,55,51
2,8,816,2,1270,5,1,52,32,51
2,8,816,2,1270,6,1,64,64,51
2,8,816,2,1270,7,1,56,56,51
2,8,816,2,1270,8,1,57,40,51
2,8,817,1,2476,1,1,45,45,26
2,8,817,1,2476,2,1,60,60,0
2,8,817,1,2476,3,2,35,35,0
2,8,817,1,2476,4,1,45,20,34
2,8,817,1,2476,5,1,42,22,51
2,8,820,2,1030,1,1,53,55,51
2,8,820,2,1030,2,2,45,45,51
2,8,820,2,1030,3,1,35,35,31
2,8,820,2,1030,4,1,60,45,16
2,8,820,2,1030,5,1,45,16,23
2,8,820,2,1030,6,1,50,50,0
2,8,820,2,1030,7,1,60,60,0
2,8,821,1,1448,1,1,41,19,51
2,8,821,1,1448,2,2,50,30,0
2,8,821,1,1448,3,1,52,15,42
2,8,821,1,1448,4,1,48,32,51
2,8,821,1,1448,5,1,45,19,51
2,8,821,1,5062,1,1,66,48,51
2,8,821,1,5062,2,2,50,47,51
2,8,821,1,5062,3,1,36,36,42
2,8,821,1,5062,4,1,43,20,51
2,8,821,1,5062,5,1,65,48,51
2,8,823,2,548,1,1,80,80,51
2,8,823,2,548,2,2,60,60,0
2,8,823,2,548,3,1,45,45,51
2,8,823,2,548,4,1,35,35,51
2,8,823,2,548,5,1,40,40,51
2,8,824,2,768,1,1,33,33,41
2,8,824,2,768,2,2,48,20,0
2,8,824,2,768,3,1,70,50,0
2,8,824,2,768,4,1,32,32,34
2,8,824,2,768,5,1,35,15,41
2,8,826,2,926,1,1,50,50,34
2,8,826,2,926,2,2,60,60,0
2,8,826,2,926,3,1,52,52,0
2,8,826,2,926,4,1,33,33,34
2,8,826,2,926,5,1,62,62,51
2,8,827,2,804,1,1,61,61,28
2,8,827,2,804,2,1,80,80,0
2,8,827,2,804,3,2,52,52,0
2,8,827,2,804,4,1,58,58,51
2,8,827,2,804,5,1,50,50,0
5,9,901,2,398,1,1,70,70,16
5,9,901,2,398,2,2,62,62,16
5,9,901,2,398,3,1,57,51,16
5,9,901,2,398,4,1,46,46,28
5,9,901,2,398,5,1,55,55,16
5,9,901,2,398,6,2,52,52,16
5,9,903,2,48,1,1,54,46,16
5,9,903,2,48,2,1,34,34,24
