"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
2,2,216,2,200,20036,0,0,0,0,0,0,0,0,0,3,3,2,,,,2,,,,,,,,,,
2,2,216,2,200,20037,7,0,0,0,0,0,0,0,0,2,3,1,,,,1,9,,,,,,2,3,1,
2,2,216,2,200,20038,5,0,0,0,2,0,0,0,0,3,3,1,,,,1,7,8,9,,,,4,5,,
2,2,216,2,200,20039,4,0,0,0,0,0,0,0,0,3,3,1,,,,1,4,5,,,,,4,5,,
2,2,216,2,200,20040,0,0,0,0,0,0,0,0,0,2,3,1,,,,1,5,,,,,,8,,,
2,2,203,2,1224,20041,2,3,,,,,,,,3,,1,,,,1,7,8,,4,5,6,,,,
2,2,203,2,1224,20042,7,,,,,,,,,3,3,1,,,,1,4,,,,,,1,3,,
2,2,203,2,1224,20043,,,,,,,,,,2,2,2,3,2,1,2,,,,,,,,,,
2,2,203,2,1224,20044,,,,,,,,,,3,,1,,,,2,,,,,,,,,,
2,2,203,2,1224,20045,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,1,,,
2,2,203,2,1224,20046,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,203,2,1224,20047,5,,,,,,,,,2,3,1,,,,1,9,,,,,,3,4,5,
2,2,203,2,1224,20048,,,,,,,,,,3,5,1,,,,1,7,8,,,,,4,5,,
2,2,203,2,1224,20049,7,,,,,,,,,2,2,1,,,,2,,,,,,,,,,
2,2,203,2,1224,20050,,,,,,,,,,3,3,1,,,,1,9,,,,,,1,,,
2,2,212,2,956,20051,5,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,,,4,5,,
2,2,212,2,956,20052,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,1,4,2,
2,2,212,2,956,20053,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,212,2,956,20054,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,212,2,956,20055,5,,,,,,,,,3,3,1,,,,2,,,,,,,,,,
2,2,212,2,956,20056,3,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,4,5,,
2,2,212,2,956,20057,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,212,2,956,20058,3,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,,,,,,4,,,
2,2,212,2,956,20059,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,1,2,3,
2,2,212,2,956,20060,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20061,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20062,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20063,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20064,4,2,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,,,4,5,,
2,2,210,2,1300,20065,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20066,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,4,5,,
2,2,210,2,1300,20067,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20068,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,1,2,3,
2,2,210,2,1300,20069,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,210,2,1300,20070,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20071,2,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20072,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20073,3,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,4,5,,
2,2,214,2,898,20074,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20075,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20076,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20077,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20078,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
