"zone","state","lga","sector","ea","hhid","item_cd","s10cq9","s10cq10"
5,9,905,2,978,90107,3,3,6
5,9,905,2,978,90107,4,1,1
5,9,905,2,978,90108,1,3,3
5,9,905,2,978,90108,2,3,3
5,9,905,2,978,90110,3,2,4
5,9,914,2,1746,90115,3,5,3
5,9,914,2,1746,90118,2,1,2
5,9,914,2,1746,90118,3,1,2
5,9,914,2,1746,90118,4,1,1
5,9,914,2,1746,90119,3,1,1
5,9,914,2,1746,90120,2,2,2
5,9,914,2,1746,90120,3,2,2
5,9,913,2,2266,90128,4,3,3
5,10,1014,2,80,100004,3,7,14
5,10,1012,2,936,100061,3,2,3
5,10,1012,2,936,100062,3,2,5
5,10,1012,2,936,100067,3,4,12
5,10,1005,2,1374,100082,2,4,4
5,10,1005,2,1374,100084,1,7,21
5,10,1005,2,1374,100084,3,7,14
5,10,1005,1,662,100094,3,3,9
5,10,1005,1,662,100097,3,3,3
5,10,1018,2,898,100105,1,7,5
5,10,1018,2,898,100105,2,7,5
5,10,1020,1,38,100127,1,5,10
5,10,1020,1,38,100127,3,5,10
4,11,1104,1,2028,110001,2,1,3
4,11,1104,1,2028,110001,3,2,2
4,11,1104,1,2028,110005,1,2,2
4,11,1104,1,2028,110005,2,1,1
4,11,1104,1,2028,110005,3,1,1
4,11,1104,1,2028,110005,4,1,1
4,11,1104,1,2028,110006,3,2,2
4,11,1104,1,2028,110010,1,1,1
4,11,1104,1,2028,110010,3,1,1
4,11,1112,2,1952,110011,1,2,1
4,11,1112,2,1952,110011,3,1,2
4,11,1112,2,1952,110015,1,2,2
4,11,1112,2,1952,110015,3,1,1
4,11,1112,2,1952,110019,3,2,2
4,11,1112,2,1952,110020,2,3,2
4,11,1112,2,1952,110020,3,2,1
4,11,1112,2,78,110021,2,2,3
4,11,1112,2,78,110025,1,3,3
4,11,1112,2,78,110025,2,1,2
4,11,1112,2,78,110026,1,1,1
4,11,1112,2,78,110026,2,1,1
4,11,1112,2,78,110029,3,1,2
4,11,1112,2,78,110030,1,1,2
4,11,1110,2,714,110031,2,1,1
4,11,1110,2,714,110035,4,1,1
4,11,1110,2,714,110036,2,2,2
4,11,1110,2,2752,110046,1,2,2
4,11,1110,2,2752,110047,2,3,2
4,11,1108,2,492,110051,4,1,1
4,11,1108,2,492,110056,2,1,1
4,11,1108,2,492,110057,2,1,1
4,11,1108,2,492,110059,2,2,4
4,11,1105,2,100,110067,3,3,2
4,11,1106,2,446,110078,2,3,2
4,11,1106,2,446,110079,3,1,1
4,11,1107,2,1034,110097,1,1,2
4,11,1107,2,1034,110098,1,1,1
4,11,1107,2,1034,110099,2,1,1
4,11,1107,2,1034,110100,3,1,1
4,11,1109,2,672,110101,2,1,1
4,11,1109,2,672,110108,3,2,2
4,11,1113,2,954,110116,2,1,1
4,11,1113,2,954,110118,2,1,1
4,11,1102,2,936,110122,1,1,1
4,11,1102,2,936,110127,2,2,2
4,11,1102,2,936,110130,1,3,9
4,11,1101,2,154,110132,2,1,1
4,11,1101,2,154,110133,1,1,1
4,11,1101,2,154,110139,2,2,1
4,11,1101,2,154,110140,2,3,2
5,12,1211,1,2856,120005,3,7,14
5,12,1211,1,2856,120006,3,3,8
5,12,1202,1,2146,120011,3,3,
5,12,1202,1,2146,120011,4,3,9
5,12,1202,1,2146,120014,3,2,8
5,12,1202,1,2146,120017,3,4,3
5,12,1202,1,2710,120022,3,3,10
5,12,1212,1,1392,120033,3,2,9
5,12,1208,2,526,120046,3,7,21
5,12,1208,2,526,120046,4,7,21
5,12,1208,2,526,120050,1,2,4
5,12,1204,2,736,120078,3,3,10
5,12,1211,1,2220,120083,1,1,2
5,12,1211,1,2220,120087,2,2,1
5,12,1211,1,2220,120087,3,3,1
5,12,1211,1,2220,120090,3,3,7
5,12,1211,1,2220,120090,4,2,5
5,12,1214,2,452,120100,3,1,2
6,13,1307,1,268,130029,3,7,
4,14,1401,2,1116,140006,2,2,2
4,14,1401,2,1116,140007,3,7,4
4,14,1401,2,1116,140008,2,2,1
4,14,1408,2,1996,140027,2,2,1
4,14,1403,1,34,140058,3,3,2
4,14,1413,2,670,140071,4,1,1
4,14,1410,2,236,140087,1,2,1
4,14,1410,2,236,140087,2,3,2
4,14,1411,2,1066,140117,2,4,2
4,14,1411,2,1066,140117,3,2,2
4,14,1416,2,2314,140124,1,5,4
4,14,1416,2,2314,140124,2,5,4
4,14,1416,2,2314,140124,3,5,4
4,14,1416,2,2314,140124,4,2,2
2,15,1506,1,398,150001,3,7,7
2,15,1506,1,398,150001,4,7,7
2,15,1506,1,398,150005,1,2,2
2,15,1506,1,398,150005,3,7,7
2,15,1506,1,398,150006,3,7,7
2,15,1506,1,398,150009,1,2,2
2,15,1506,1,398,150009,2,2,2
2,15,1506,1,398,150010,3,2,2
2,15,1508,2,1682,150011,1,4,4
2,15,1508,2,1682,150011,2,6,6
2,15,1508,2,1682,150011,3,7,7
2,15,1508,2,1682,150011,4,3,3
2,15,1508,2,1682,150013,1,2,2
2,15,1508,2,1682,150013,2,3,3
2,15,1508,2,1682,150014,1,2,2
2,15,1508,2,1682,150014,2,1,1
2,15,1508,2,1682,150015,1,2,2
