"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,102,1,536,10043,3,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,4,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,5,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,6,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,1,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,2,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,3,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,1,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,2,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,3,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,4,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,5,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,6,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,1,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,2,11,,,"11    11    11    11",,,11,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,3,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,4,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,1,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,2,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,3,4,,," 4     4     4     4",,,4,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,4,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,5,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,6,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,7,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,8,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,1,10,,,"10    10    10    10",,10,10,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,2,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,3,7,,," 7     7     7     7",,,7,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,4,10,,,"10    10    10    10",,,10,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,5,6,,," 6     6     6     6",,,6,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,6,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,7,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,8,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10049,1,3,,," 3     3     3    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10050,1,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10051,2,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,0
4,1,102,1,1690,10052,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10052,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
