"zone","state","lga","sector","ea","hhid","item_cd","s11aq1","s11aq2"
4,4,405,2,722,40070,104,1,400
4,4,405,2,484,40071,102,1,20
4,4,405,2,484,40072,102,1,20
4,4,405,2,484,40072,104,1,600
4,4,405,2,484,40073,104,1,200
4,4,405,2,484,40074,102,1,10
4,4,405,2,484,40075,102,1,20
4,4,405,2,484,40076,102,1,40
4,4,405,2,484,40076,104,1,750
4,4,405,2,484,40077,102,1,40
4,4,405,2,484,40077,104,1,380
4,4,405,2,484,40078,104,1,600
4,4,405,2,484,40079,104,1,200
4,4,405,2,484,40080,101,1,100
4,4,405,2,484,40080,104,1,600
4,4,419,2,296,40081,102,1,20
4,4,419,2,296,40082,102,1,10
4,4,419,2,296,40083,104,1,500
4,4,419,2,296,40084,104,1,300
4,4,419,2,296,40085,104,1,400
4,4,419,2,296,40086,102,1,40
4,4,419,2,296,40086,104,1,450
4,4,419,2,296,40087,102,1,5
4,4,419,2,296,40087,104,1,400
4,4,419,2,296,40088,104,1,500
4,4,419,2,296,40089,101,1,300
4,4,419,2,296,40089,104,1,700
4,4,419,2,296,40090,101,1,320
4,4,419,2,296,40090,102,1,10
4,4,419,2,296,40090,104,1,1000
4,4,401,1,1460,40091,104,1,500
4,4,401,1,1460,40092,102,1,20
4,4,401,1,1460,40093,102,1,20
4,4,401,1,1460,40094,102,1,20
4,4,401,1,1460,40095,104,1,400
4,4,401,1,1460,40096,104,1,2000
4,4,401,1,1460,40097,102,1,10
4,4,401,1,1460,40097,104,1,1200
4,4,401,1,1460,40098,104,1,700
4,4,401,1,1460,40100,102,1,5
4,4,401,1,1460,40100,104,1,600
4,4,412,2,2592,40101,102,1,5
4,4,412,2,2592,40101,104,1,100
4,4,412,2,2592,40102,102,1,5
4,4,412,2,2592,40103,102,1,5
4,4,412,2,2592,40104,102,1,10
4,4,412,2,2592,40104,104,1,400
4,4,412,2,2592,40105,102,1,10
4,4,412,2,2592,40106,104,1,180
4,4,412,2,2592,40107,102,1,10
4,4,412,2,2592,40107,104,1,300
4,4,412,2,2592,40108,102,1,10
4,4,412,2,2592,40108,104,1,300
4,4,412,2,2592,40109,102,1,10
4,4,412,2,2592,40109,104,1,600
4,4,412,2,2592,40110,101,1,20
4,4,412,2,2592,40110,102,1,10
4,4,412,2,2592,40110,104,1,500
4,4,412,2,1606,40111,102,1,10
4,4,412,2,1606,40111,104,1,300
4,4,412,2,1606,40112,102,1,5
4,4,412,2,1606,40112,104,1,200
4,4,412,2,1606,40113,102,1,10
4,4,412,2,1606,40114,101,1,300
4,4,412,2,1606,40114,102,1,10
4,4,412,2,1606,40115,102,1,10
4,4,412,2,1606,40115,104,1,400
4,4,412,2,1606,40116,102,1,10
4,4,412,2,1606,40116,104,1,400
4,4,412,2,1606,40117,104,1,400
4,4,412,2,1606,40119,102,1,40
4,4,412,2,1606,40119,104,1,1200
4,4,412,2,1606,40120,104,1,300
4,4,410,2,4036,40121,102,1,10
4,4,410,2,4036,40122,102,1,10
4,4,410,2,4036,40122,104,1,250
4,4,410,2,4036,40123,104,1,500
4,4,410,2,4036,40124,102,1,10
4,4,410,2,4036,40124,104,1,500
4,4,410,2,4036,40126,102,1,5
4,4,410,2,4036,40126,104,1,150
4,4,410,2,4036,40127,102,1,15
4,4,410,2,4036,40127,104,1,260
4,4,410,2,4036,40128,102,1,10
4,4,410,2,4036,40129,102,1,10
4,4,410,2,4036,40130,102,1,20
4,4,407,2,796,40131,104,1,300
4,4,407,2,796,40132,102,1,20
4,4,407,2,796,40133,102,1,10
4,4,407,2,796,40133,104,1,400
4,4,407,2,796,40134,104,1,600
4,4,407,2,796,40137,101,1,150
4,4,407,2,796,40137,102,1,20
4,4,407,2,796,40140,102,1,10
4,4,407,2,796,40140,104,1,500
4,4,410,1,3192,40141,104,1,300
4,4,410,1,3192,40142,102,1,10
