"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,107,2,1044,10065,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10065,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10065,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10065,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10065,6,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10066,6,2,,,,,,,,,,,,,,
4,1,107,2,1044,10067,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10067,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10067,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10067,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10068,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10068,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10068,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,6,2,,,,,,,,,,,,,,
4,1,107,2,1044,10069,7,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,3,2,,,,,,,,,,,,,,
