"cropname","cropcode","nscode","conversion","kg"
"water yam",1123,26,30,1
"water yam",1123,27,50,1
"water yam",1123,28,75,1
"water yam",1123,31,10,1
"water yam",1123,32,25,1
"water yam",1123,33,40,1
"water yam",1123,34,75,1
"water yam",1123,51,3,1
"water yam",1123,52,5,1
"water yam",1123,53,8,1
"water yam",1123,61,15,1
"water yam",1123,62,25,1
"water yam",1123,63,40,1
"water yam",1123,71,60,1
"water yam",1123,72,85,1
"water yam",1123,73,110,1
"water yam",1123,74,150,1
"WATER YAM",1123,82,2000,1
"WATER YAM",1123,83,2500,1
"three leave yam",1124,21,20,1
"three leave yam",1124,22,50,1
"three leave yam",1124,23,100,1
"three leave yam",1124,24,120,1
"three leave yam",1124,25,15,1
"three leave yam",1124,26,30,1
"three leave yam",1124,27,50,1
"three leave yam",1124,28,75,1
"three leave yam",1124,31,10,1
"three leave yam",1124,32,25,1
"three leave yam",1124,33,40,1
"three leave yam",1124,34,75,1
"three leave yam",1124,51,3,1
"three leave yam",1124,52,5,1
"three leave yam",1124,53,8,1
"three leave yam",1124,61,15,1
"three leave yam",1124,62,25,1
"three leave yam",1124,63,40,1
"three leave yam",1124,71,60,1
"three leave yam",1124,72,85,1
"three leave yam",1124,73,110,1
"three leave yam",1124,74,150,1
"acha",2010,21,20,1
"acha",2010,22,50,1
"acha",2010,23,100,1
"acha",2010,24,120,1
"acha",2010,25,15,1
"acha",2010,26,30,1
"acha",2010,27,50,1
"acha",2010,28,75,1
"acha",2010,31,10,1
"acha",2010,32,25,1
"acha",2010,33,40,1
"acha",2010,34,75,1
"acha",2010,61,15,1
"acha",2010,62,25,1
"acha",2010,63,40,1
"bambara nut",2020,21,20,1
"bambara nut",2020,22,50,1
"bambara nut",2020,23,100,1
"bambara nut",2020,24,120,1
"bambara nut",2020,25,15,1
"bambara nut",2020,26,30,1
"bambara nut",2020,27,50,1
"bambara nut",2020,28,75,1
"bambara nut",2020,31,10,1
"bambara nut",2020,32,25,1
"bambara nut",2020,33,40,1
"bambara nut",2020,34,75,1
"bambara nut",2020,61,15,1
