"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11","tracked_obs"
4,4,414,1,2176,40037,3,"ADULTS 16-65 YEARS",2,2,0
4,4,414,1,2176,40037,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,414,1,2176,40038,1,"CHILDREN 0-5 YEARS",2,1,0
4,4,414,1,2176,40038,2,"CHILDREN 6-15 YEARS",2,1,0
4,4,414,1,2176,40038,3,"ADULTS 16-65 YEARS",1,1,0
4,4,414,1,2176,40038,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,415,1,2108,40043,1,"CHILDREN 0-5 YEARS",3,2,0
4,4,415,1,2108,40043,2,"CHILDREN 6-15 YEARS",2,2,0
4,4,415,1,2108,40043,3,"ADULTS 16-65 YEARS",2,2,0
4,4,415,1,2108,40043,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,415,1,2108,40047,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,415,1,2108,40047,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,415,1,2108,40047,3,"ADULTS 16-65 YEARS",1,2,0
4,4,415,1,2108,40047,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,415,1,2108,40049,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,415,1,2108,40049,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,415,1,2108,40049,3,"ADULTS 16-65 YEARS",1,1,0
