"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
5,3,322,2,0,10093,0,0,1,2,1,2,1,5,1,"23032016",23,3,2016,14,32,16,28,5,,"25032016",25,3,2016,13,14,15,28,16,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10094,1507,7,1,2,1,2,1,2,1,"24022016",24,2,2016,12,30,15,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10096,1507,5,1,2,1,2,1,3,1,"24022016",24,2,2016,13,46,17,28,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10097,1507,14,1,2,1,2,1,3,1,"24022016",24,2,2016,10,5,13,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10098,1507,10,1,1,2,2,2,5,1,"24022016",24,2,2016,10,30,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10099,1507,4,1,2,1,2,1,5,1,"25022016",25,2,2016,10,30,15,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10100,1507,17,1,2,1,2,1,4,1,"24022016",24,2,2016,10,24,13,55,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,
4,1,108,2,904,10102,1205,12,1,2,1,2,1,2,1,"29022016",29,2,2016,10,37,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10103,1205,23,1,2,1,1,1,2,1,"01032016",1,3,2016,11,5,14,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10104,1205,1,1,2,1,2,1,4,1,"29022016",29,2,2016,11,16,14,53,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
