"zone","state","sector","lga","ea","hhid","plotid","dist_household","srtmslp_nga","srtm_nga","twi_nga"
5,3,1,331,2322,30002,2,2,6.3,55,12
5,3,1,331,2322,30002,3,2,6.2,53,12
5,3,1,331,2322,30002,4,2,6.8,53,12
5,3,1,331,516,30011,1,4.4,10,46,12
5,3,1,331,516,30011,2,4.3,4.5,52,13
5,3,1,331,516,30011,3,4.3,4.1,52,13
5,3,1,331,516,30011,4,4.3,5.3,53,13
5,3,1,331,516,30011,5,4.3,6.3,54,13
5,3,1,331,516,30012,1,3.8,6.6,60,12
5,3,1,331,516,30012,2,3.8,6.7,59,12
5,3,1,331,516,30012,3,3.6,3.7,62,13
5,3,1,331,516,30020,1,0,1.9,70,14
5,3,1,331,516,30020,2,0.2,1,68,14
5,3,2,316,874,30021,1,0,1.1,73,15
5,3,2,316,874,30022,1,0.1,1.1,74,14
5,3,2,316,874,30026,1,6.2,0.7,75,16
5,3,2,309,478,30032,1,0.2,1.3,65,15
5,3,2,309,478,30032,2,0.2,1.2,65,15
5,3,2,309,478,30033,1,0.3,4.2,63,13
5,3,2,309,478,30033,2,0.3,4.2,61,13
5,3,2,309,478,30034,1,0.1,3.6,62,13
5,3,2,309,478,30034,2,0.2,3.7,61,13
5,3,2,309,478,30035,1,0.1,3.4,63,13
5,3,2,309,478,30036,1,0.7,2.3,61,13
5,3,2,309,478,30039,1,0.6,1.4,64,14
5,3,2,309,478,30039,2,0.6,1.1,64,14
5,3,2,309,478,30039,3,0.6,1.2,64,14
5,3,2,309,478,30039,4,0.7,0.9,65,14
5,3,2,309,478,30039,5,0,2.5,63,14
5,3,2,309,478,30040,1,0.4,0.9,65,14
5,3,2,309,478,30040,2,0.3,2.3,64,13
5,3,2,309,478,30040,3,0.3,2.3,63,14
5,3,1,307,634,30043,1,0.1,2.4,41,15
5,3,1,307,634,30043,2,0,2.1,42,14
5,3,1,307,634,30043,3,0.1,2.5,42,14
5,3,1,307,634,30043,4,0,2.3,41,15
5,3,1,307,634,30045,1,0.1,1.8,41,15
5,3,1,307,634,30045,2,0.1,1.7,40,16
5,3,1,307,634,30047,1,0,1.5,41,15
5,3,1,307,634,30048,1,0,2.4,41,15
5,3,1,307,634,30049,1,0,2.4,42,15
5,3,2,321,364,30051,1,0,2.4,42,14
5,3,2,321,364,30051,2,0.1,2.5,42,14
5,3,2,321,364,30051,3,0,1.9,42,14
5,3,2,321,364,30052,1,0,2.2,43,13
5,3,2,321,364,30052,2,0,2.2,43,13
5,3,2,321,364,30055,1,0,0.8,41,13
5,3,2,321,364,30056,1,0,2.1,42,13
5,3,2,321,364,30056,2,0,2.1,42,13
5,3,2,321,364,30057,1,0,1.7,43,14
5,3,2,321,364,30057,2,0,1.6,43,14
5,3,2,321,364,30057,3,0,1.5,43,14
5,3,2,321,364,30057,4,0,1.7,43,14
5,3,2,321,364,30057,5,0,2,42,14
5,3,2,321,364,30058,1,0,1.9,42,15
5,3,2,321,364,30058,2,0,2,42,16
5,3,2,321,364,30058,3,0,1.9,42,15
5,3,2,321,364,30059,1,0,1.2,43,14
5,3,2,321,364,30059,2,,,,
5,3,2,321,364,30059,3,0,1.3,43,14
5,3,2,321,364,30060,1,0.2,1.8,42,14
5,3,2,321,364,30060,2,0,0.6,44,14
5,3,2,329,696,30062,1,0.6,1.6,50,17
5,3,2,329,696,30062,2,0.6,0.9,51,15
5,3,2,329,696,30066,1,1,0.3,49,17
5,3,2,329,696,30067,1,0,0.9,53,15
5,3,2,329,696,30069,1,0,1.3,52,14
5,3,2,329,696,30069,2,0,1.2,52,14
5,3,2,329,696,30069,3,0,1.3,52,14
5,3,2,329,696,30070,1,0.4,1.8,49,15
5,3,2,329,696,30070,2,0.5,0.5,49,14
5,3,2,323,580,30071,1,0.6,2.9,45,13
5,3,2,323,580,30071,2,0.5,2.1,47,14
5,3,2,323,580,30071,3,0.5,2,47,14
5,3,2,323,580,30072,1,0,2.7,50,13
