"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
2,2,201,2,60,20025,4,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20026,0,0,1,0,0,0,1,0,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20027,2,2,1,1,0,0,0,0,0,3,3,1,,,,1,9,,,,,,1,,4,,,
2,2,201,2,60,20028,3,5,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20029,4,2,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,,,7,,5,,4,
2,2,201,2,60,20030,0,0,1,0,0,2,0,1,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20031,5,1,1,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,8,,,,,
2,2,216,2,200,20032,4,2,0,5,0,0,0,0,0,2,2,1,,,,1,8,,,11,,,8,,,,,
2,2,216,2,200,20033,4,4,7,7,0,0,0,0,0,2,2,1,,,,1,8,,,9,,,1,,2,,8,
2,2,216,2,200,20034,5,5,0,0,0,0,0,0,0,3,5,1,,,,1,7,8,,8,,,2,,8,,,
2,2,216,2,200,20035,6,1,0,7,0,0,0,0,0,2,2,1,,,,1,8,,,10,,,1,,8,,,
2,2,216,2,200,20036,2,2,0,0,0,0,0,0,0,3,5,1,,,,1,8,9,,,,,6,,5,,1,
2,2,216,2,200,20037,4,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20038,1,0,0,0,2,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,216,2,200,20040,2,2,2,1,0,0,0,0,0,3,3,1,,,,1,8,,,,,,8,,,,,
