"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
2,34,3416,2,0,20011,0,0,1,2,1,,"17102015",17,10,2015,9,38,11,16,1,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,221,2,18,20012,1210,18,1,3,4,1,"25082015",25,8,2015,8,15,10,32,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,221,2,18,20013,1210,103,1,2,5,1,"24082015",24,8,2015,15,50,17,12,8,,"25082015",25,8,2015,11,20,15,38,16,,,,,,,,,,,,2,1,1
2,2,221,2,18,20014,1210,60,1,3,2,1,"24082015",24,8,2015,13,16,16,28,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,221,2,18,20015,1210,83,1,2,2,1,"24082015",24,8,2015,10,47,13,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,221,2,18,20016,1210,92,1,2,4,1,"24082015",24,8,2015,13,3,13,55,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,221,2,18,20017,1210,28,1,2,3,1,"25082015",25,8,2015,11,32,13,28,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,221,2,18,20018,1210,39,1,2,5,1,"24082015",24,8,2015,13,0,14,46,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,221,2,18,20019,1210,50,1,2,2,1,"25082015",25,8,2015,13,9,15,46,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,221,2,18,20020,1210,71,1,2,3,1,"24082015",24,8,2015,16,32,17,52,4,,"25082015",25,8,2015,9,16,11,8,16,,,,,,,,,,,,1,1,1
2,2,201,2,60,20021,1501,1,1,2,5,1,"05092015",5,9,2015,13,21,16,7,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,201,2,60,20022,1501,5,1,2,3,1,"06092015",6,9,2015,7,32,10,11,16,,,,,,,,,,,,,,,,,,,,,,2,1,2
2,2,201,2,60,20023,1501,13,1,2,4,1,"05092015",5,9,2015,9,54,10,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,2
2,2,201,2,60,20024,1501,9,1,2,2,1,"06092015",6,9,2015,7,13,10,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,2
2,2,201,2,60,20025,1501,22,1,3,2,1,"05092015",5,9,2015,8,42,11,49,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,201,2,60,20026,1501,15,1,2,4,1,"05092015",5,9,2015,12,53,14,9,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,201,2,60,20027,1501,7,1,2,5,1,"05092015",5,9,2015,10,3,13,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,2
2,2,201,2,60,20028,1501,18,1,2,3,1,"05092015",5,9,2015,10,5,11,38,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,201,2,60,20029,1501,3,1,2,3,1,"05092015",5,9,2015,13,41,14,22,16,,,,,,,,,,,,,,,,,,,,,,2,1,2
2,2,201,2,60,20030,1501,11,1,2,2,1,"05092015",5,9,2015,12,15,15,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20031,1308,16,1,2,5,1,"15092015",15,9,2015,14,57,16,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
