"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
2,2,207,2,1302,20094,1,1,1,,1,1,,2,,2,2,2,2,1,2,2
2,2,207,2,1302,20095,1,2,,2,2,,2,1,1,,1,1,3,1,1,1
2,2,207,2,1302,20096,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,207,2,1302,20097,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,207,2,1302,20098,1,1,1,,1,1,,1,1,,2,2,2,2,1,2
2,2,207,2,1302,20099,1,1,2,,2,,2,1,1,,1,2,2,3,2,1
2,2,207,2,1302,20100,1,1,1,,1,1,,1,1,,2,1,2,2,1,1
2,2,205,2,712,20101,1,1,1,,1,1,,1,1,,1,1,2,2,2,1
2,2,205,2,712,20102,1,2,,2,2,,2,2,,2,1,2,2,2,1,2
2,2,205,2,712,20103,1,1,1,,1,1,,1,1,,1,2,2,2,1,1
2,2,205,2,712,20104,1,1,1,,1,1,,1,1,,1,1,2,2,2,1
2,2,205,2,712,20105,1,1,1,,1,1,,1,1,,1,1,3,2,1,2
2,2,205,2,712,20106,1,2,,2,1,2,,1,2,,1,2,2,2,2,1
2,2,205,2,712,20107,1,1,1,,1,1,,1,1,,1,1,4,2,1,2
2,2,205,2,712,20108,1,1,1,,2,,2,1,1,,1,2,2,2,2,2
2,2,205,2,712,20110,1,1,1,,1,1,,1,1,,2,2,2,2,1,1
2,2,218,2,1592,20111,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,218,2,1592,20112,1,2,,2,2,,2,1,1,,1,2,2,2,1,1
2,2,218,2,1592,20113,1,1,1,,1,1,,1,1,,2,2,2,2,2,2
2,2,218,2,1592,20114,1,2,,1,1,1,,1,2,,1,2,1,2,2,1
2,2,218,2,1592,20115,1,1,1,,2,,1,1,1,,2,2,2,2,1,2
2,2,218,2,1592,20116,1,1,1,,1,1,,1,1,,2,2,2,2,1,2
2,2,218,2,1592,20117,5,1,1,,1,1,,1,1,,2,2,2,2,2,2
2,2,218,2,1592,20118,1,1,1,,2,,2,1,1,,2,2,2,2,1,2
2,2,218,2,1592,20119,1,1,1,,1,1,,1,1,,1,2,2,2,2,2
2,2,218,2,1592,20120,8,1,2,,1,2,,1,1,,1,2,1,2,1,2
5,3,331,1,2322,30001,1,1,1,,2,,2,1,1,,2,2,1,2,1,1
5,3,331,1,2322,30002,2,1,2,,2,,2,1,2,,2,1,2,2,2,2
