"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10aq1","s10aq2"
4,1,102,1,536,10043,8,"NON-ALCOHOLIC DRINKS",1,480
4,1,102,1,536,10043,9,"ALCOHOLIC DRINKS",2,
4,1,102,1,536,10044,1,"FULL MEALS - BREAKFAST",1,400
4,1,102,1,536,10044,2,"FULL MEALS - LUNCH",1,600
4,1,102,1,536,10044,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10044,4,"SIDE DISHES",2,
4,1,102,1,536,10044,5,"SNACKS",1,170
4,1,102,1,536,10044,6,"DAIRY BASED BEVARAGES",2,
4,1,102,1,536,10044,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,102,1,536,10044,8,"NON-ALCOHOLIC DRINKS",1,50
4,1,102,1,536,10044,9,"ALCOHOLIC DRINKS",1,250
4,1,102,1,536,10045,1,"FULL MEALS - BREAKFAST",1,700
4,1,102,1,536,10045,2,"FULL MEALS - LUNCH",1,500
4,1,102,1,536,10045,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10045,4,"SIDE DISHES",2,
4,1,102,1,536,10045,5,"SNACKS",1,200
4,1,102,1,536,10045,6,"DAIRY BASED BEVARAGES",1,300
4,1,102,1,536,10045,7,"VEGETABLES AND ROASTED OR BOIL",1,500
4,1,102,1,536,10045,8,"NON-ALCOHOLIC DRINKS",1,300
4,1,102,1,536,10045,9,"ALCOHOLIC DRINKS",2,
4,1,102,1,536,10046,1,"FULL MEALS - BREAKFAST",2,
4,1,102,1,536,10046,2,"FULL MEALS - LUNCH",1,900
4,1,102,1,536,10046,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10046,4,"SIDE DISHES",1,200
4,1,102,1,536,10046,5,"SNACKS",1,180
4,1,102,1,536,10046,6,"DAIRY BASED BEVARAGES",2,
4,1,102,1,536,10046,7,"VEGETABLES AND ROASTED OR BOIL",1,150
4,1,102,1,536,10046,8,"NON-ALCOHOLIC DRINKS",1,300
4,1,102,1,536,10046,9,"ALCOHOLIC DRINKS",2,
4,1,102,1,536,10047,1,"FULL MEALS - BREAKFAST",1,1200
4,1,102,1,536,10047,2,"FULL MEALS - LUNCH",1,8000
4,1,102,1,536,10047,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10047,4,"SIDE DISHES",2,
4,1,102,1,536,10047,5,"SNACKS",1,300
4,1,102,1,536,10047,6,"DAIRY BASED BEVARAGES",1,200
4,1,102,1,536,10047,7,"VEGETABLES AND ROASTED OR BOIL",1,500
4,1,102,1,536,10047,8,"NON-ALCOHOLIC DRINKS",1,300
4,1,102,1,536,10047,9,"ALCOHOLIC DRINKS",2,
4,1,102,1,536,10048,1,"FULL MEALS - BREAKFAST",2,
4,1,102,1,536,10048,2,"FULL MEALS - LUNCH",1,800
4,1,102,1,536,10048,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10048,4,"SIDE DISHES",2,
4,1,102,1,536,10048,5,"SNACKS",1,150
4,1,102,1,536,10048,6,"DAIRY BASED BEVARAGES",1,120
4,1,102,1,536,10048,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,102,1,536,10048,8,"NON-ALCOHOLIC DRINKS",1,200
4,1,102,1,536,10048,9,"ALCOHOLIC DRINKS",2,
4,1,102,1,536,10049,1,"FULL MEALS - BREAKFAST",1,300
4,1,102,1,536,10049,2,"FULL MEALS - LUNCH",1,250
4,1,102,1,536,10049,3,"FULL MEALS - DINNER",2,
4,1,102,1,536,10049,4,"SIDE DISHES",2,
4,1,102,1,536,10049,5,"SNACKS",1,40
4,1,102,1,536,10049,6,"DAIRY BASED BEVARAGES",1,100
4,1,102,1,536,10049,7,"VEGETABLES AND ROASTED OR BOIL",2,
