"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18b1","sa9aq18b2","sa9aq18b3"
5,9,915,1,1390,90022,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,1,"Catfish",,1,3,500,1,0,,0,,,0,,,0,50,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,2,"Tilapia",,1,3,500,1,0,,0,,,0,,,0,50,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170041,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,1,"Catfish",,1,48,100,91,0,,0,,,0,,,0,100,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170042,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,1,"Catfish",,1,20,160,92,0,,10,92,2000,0,,,20,2,92,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,2,"Tilapia",,1,20,165,92,0,,11,92,2200,0,,,20,3,92,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170043,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,1,"Catfish",,1,48,100,91,0,,0,,,0,,,0,100,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170046,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,1,"Catfish",,1,14,14,91,0,,12,91,6000,0,,,13,1,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,2,"Tilapia",,1,21,20,91,0,,18,91,2000,0,,,19,1,91,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170047,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170048,1,"Catfish",,1,5,500,1,0,,300,1,25000,0,,,4,100,82,0,,4,1000,81,3,0,,,2000,81,30000,,,,4,20,80,1,,,
3,17,1722,2,96,170048,2,"Tilapia",,1,5,500,1,0,,400,1,20000,0,,,4,100,82,0,,4,800,82,3,0,,,1000,81,20000,,,,4,20,81,1,,,
3,17,1722,2,96,170048,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170048,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170048,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170048,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170048,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,1,"Catfish",,1,48,7,3,0,,5,3,25000,0,,,48,1,3,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,2,"Tilapia",,1,48,5,3,0,,4,3,2000,0,,,48,0,,0,,0,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1722,2,96,170049,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
