"zone","state","lga","ea","sector","hhid","network_cd","s12q2","s12q2b","s12q3"
4,4,401,1460,1,40093,"N01",31,"SON",8
4,4,401,1460,1,40093,"N02",10,,2
4,4,401,1460,1,40093,"N03",14,,1
4,4,401,1460,1,40095,"N01",1,,8
4,4,401,1460,1,40095,"N02",9,,3
4,4,401,1460,1,40099,"N01",1,,8
4,4,401,1460,1,40099,"N02",1,,1
4,4,401,1460,1,40099,"N03",13,,4
4,4,401,1460,1,40099,"N04",13,,4
4,4,401,1460,1,40100,"N01",21,,1
4,4,401,1460,1,40100,"N02",10,,1
4,4,401,1460,1,40100,"N03",9,,1
4,4,412,2592,2,40101,"N01",1,,1
4,4,412,2592,2,40101,"N02",2,,1
4,4,412,2592,2,40101,"N03",12,,4
4,4,412,2592,2,40101,"N04",13,,4
4,4,412,2592,2,40102,"N01",1,,1
4,4,412,2592,2,40102,"N02",1,,1
4,4,412,2592,2,40102,"N03",13,,4
4,4,412,2592,2,40102,"N04",1,,1
4,4,412,2592,2,40102,"N05",2,,1
4,4,412,2592,2,40102,"N06",12,,4
4,4,412,2592,2,40102,"N07",13,,4
4,4,412,2592,2,40102,"N08",10,,3
4,4,412,2592,2,40103,"N01",10,,3
4,4,412,2592,2,40103,"N02",2,,1
4,4,412,2592,2,40103,"N03",12,,4
4,4,412,2592,2,40103,"N04",13,,4
4,4,412,2592,2,40103,"N05",1,,3
4,4,412,2592,2,40103,"N06",10,,2
4,4,412,2592,2,40105,"N01",10,,4
4,4,412,2592,2,40107,"N01",9,,3
4,4,412,2592,2,40108,"N01",9,,3
4,4,412,2592,2,40109,"N01",1,,1
4,4,412,2592,2,40109,"N02",10,,4
4,4,412,2592,2,40110,"N01",10,,4
4,4,412,1606,2,40111,"N01",1,,1
4,4,412,1606,2,40111,"N02",13,,4
4,4,412,1606,2,40111,"N03",10,,2
4,4,412,1606,2,40111,"N04",2,,1
4,4,412,1606,2,40111,"N05",1,,2
4,4,412,1606,2,40111,"N06",12,,4
4,4,412,1606,2,40112,"N01",1,,1
4,4,412,1606,2,40112,"N02",1,,1
4,4,412,1606,2,40112,"N03",2,,1
4,4,412,1606,2,40112,"N04",12,,4
4,4,412,1606,2,40112,"N05",10,,3
4,4,412,1606,2,40112,"N06",9,,1
4,4,412,1606,2,40113,"N01",13,,4
