"zone","state","lga","sector","ea","hhid","source_cd","source_desc","sa5bq1","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9"
1,26,2613,2,2248,260125,1,"Government Agricultu","X",1,3,,,0,,2,,2,,1
1,26,2613,2,2248,260126,11,"Peer Farmer (Neighbo","X",1,,,,1,1,1,,2,,1
1,26,2613,2,2248,260129,11,"Peer Farmer (Neighbo","X",3,2,,,1,0,1,,2,,1
1,26,2613,2,2248,260130,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2608,2,820,260132,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2608,2,820,260133,11,"Peer Farmer (Neighbo","X",1,,,,1,0,2,,2,,1
1,26,2608,2,820,260138,1,"Government Agricultu","X",2,,,,2,0,2,,2,,1
1,26,2608,2,820,260140,1,"Government Agricultu","X",7,,,,0,,3,,2,,1
1,26,2601,2,822,260144,2,"Private Agricultural","X",1,,,,0,,2,,2,,1
1,26,2601,2,822,260144,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
1,26,2601,2,822,260147,11,"Peer Farmer (Neighbo","X",2,,,,0,,2,,2,,1
1,26,2601,2,822,260150,2,"Private Agricultural","X",1,,,,0,,4,,2,,1
1,26,2613,2,1462,260157,11,"Peer Farmer (Neighbo","X",1,3,,,0,,0,,2,,1
1,26,2616,2,254,260163,1,"Government Agricultu","X",1,4,,,4,0,0,,2,,1
1,26,2616,2,254,260163,11,"Peer Farmer (Neighbo","X",1,4,,,3,0,3,,2,,1
1,26,2616,2,254,260165,2,"Private Agricultural","X",1,4,,,1,0,1,,2,,1
1,26,2616,2,254,260165,11,"Peer Farmer (Neighbo","X",1,,,,2,0,2,,2,,1
1,26,2616,2,254,260168,11,"Peer Farmer (Neighbo","X",1,3,,,2,0,2,,2,,1
1,26,2616,2,254,260169,11,"Peer Farmer (Neighbo","X",1,,,,2,1,1,,2,,1
1,26,2616,2,254,260170,2,"Private Agricultural","X",1,,,,0,,0,,2,,1
1,26,2616,2,254,260170,8,"Village Agricultural","X",1,,,,,,,0,2,,1
1,26,2625,2,926,260171,11,"Peer Farmer (Neighbo","X",1,,,,2,2,1,,2,,1
1,26,2625,2,926,260172,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
1,26,2625,2,926,260173,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
1,26,2625,2,926,260177,11,"Peer Farmer (Neighbo","X",1,,,,2,0,1,,2,,1
6,27,2715,2,752,270024,12,"Electronic Media (TV","X",1,2,,,,,,,,,
6,27,2719,2,100,270085,12,"Electronic Media (TV","X",1,2,,,,,,,,,
6,27,2719,2,100,270086,12,"Electronic Media (TV","X",1,2,,,,,,,,,
6,29,2923,2,1126,290114,1,"Government Agricultu","X",1,,,,1,0,0,,2,,2
6,29,2923,2,1126,290118,1,"Government Agricultu","X",1,,,,1,0,0,,2,,2
