"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
5,3,313,2,70,306,1,1,2,,60,20,25
5,3,313,2,70,307,1,2,2,,60,20,25
5,3,313,2,70,308,1,2,2,,30,0,10
5,3,313,2,70,309,2,,,,,,
5,3,313,2,70,310,1,1,2,,12,4,6
5,3,313,2,70,311,1,1,3,,10,4,5
5,3,313,2,70,312,2,,,,,,
5,3,313,2,70,313,1,1,2,,6,0,6
5,3,313,2,70,314,2,,,,,,
5,3,313,2,70,315,2,,,,,,
5,3,316,2,874,301,2,,,,,,
5,3,316,2,874,302,2,,,,,,
5,3,316,2,874,303,2,,,,,,
5,3,316,2,874,304,2,,,,,,
5,3,316,2,874,305,1,1,2,,130,130,48
5,3,316,2,874,306,1,1,2,,80,25,38
5,3,316,2,874,307,1,2,2,,68,30,20
5,3,316,2,874,308,2,,,,,,
5,3,316,2,874,309,2,,,,,,
5,3,316,2,874,310,1,1,3,,30,12,8
5,3,316,2,874,311,1,1,3,,125,50,10
5,3,316,2,874,312,2,,,,,,
5,3,316,2,874,313,2,,,,,,
5,3,316,2,874,314,2,,,,,,
5,3,316,2,874,315,2,,,,,,
5,3,318,2,1136,301,1,1,2,,32,0,0
5,3,318,2,1136,302,2,,,,,,
5,3,318,2,1136,303,2,,,,,,
5,3,318,2,1136,304,2,,,,,,
5,3,318,2,1136,305,1,2,2,,2000,2000,300
5,3,318,2,1136,306,1,1,2,,3000,1200,2000
5,3,318,2,1136,307,1,10,2,,100,40,30
5,3,318,2,1136,308,1,3,2,,100,0,60
5,3,318,2,1136,309,2,,,,,,
5,3,318,2,1136,310,2,,,,,,
5,3,318,2,1136,311,1,2,3,,2500,1600,1000
5,3,318,2,1136,312,2,,,,,,
5,3,318,2,1136,313,1,1,2,,12,0,12
5,3,318,2,1136,314,2,,,,,,
5,3,318,2,1136,315,2,,,,,,
5,3,321,2,364,301,2,,,,,,
5,3,321,2,364,302,2,,,,,,
5,3,321,2,364,303,2,,,,,,
5,3,321,2,364,304,2,,,,,,
5,3,321,2,364,305,1,1,2,,50,50,25
5,3,321,2,364,306,1,1,2,,60,20,35
5,3,321,2,364,307,1,5,2,,45,20,30
5,3,321,2,364,308,1,2,2,,20,12,15
5,3,321,2,364,309,2,,,,,,
5,3,321,2,364,310,1,1,3,,15,6,5
5,3,321,2,364,311,1,1,3,,80,44,20
5,3,321,2,364,312,2,,,,,,
5,3,321,2,364,313,2,,,,,,
5,3,321,2,364,314,2,,,,,,
5,3,321,2,364,315,2,,,,,,
5,3,323,2,580,301,2,,,,,,
5,3,323,2,580,302,2,,,,,,
5,3,323,2,580,303,2,,,,,,
5,3,323,2,580,304,2,,,,,,
5,3,323,2,580,305,1,1,2,,100,100,35
5,3,323,2,580,306,1,1,2,,75,25,36
5,3,323,2,580,307,1,5,2,,50,15,20
5,3,323,2,580,308,2,,,,,,
5,3,323,2,580,309,2,,,,,,
5,3,323,2,580,310,1,1,2,,15,6,4
5,3,323,2,580,311,1,1,2,,85,40,25
5,3,323,2,580,312,2,,,,,,
5,3,323,2,580,313,2,,,,,,
5,3,323,2,580,314,2,,,,,,
5,3,323,2,580,315,2,,,,,,
5,3,326,2,74,301,1,1,2,,12,0,0
5,3,326,2,74,302,2,,,,,,
5,3,326,2,74,303,2,,,,,,
5,3,326,2,74,304,2,,,,,,
5,3,326,2,74,305,1,1,2,,68,68,25
5,3,326,2,74,306,1,1,2,,50,15,35
5,3,326,2,74,307,1,3,2,,30,10,10
5,3,326,2,74,308,1,1,2,,25,10,15
5,3,326,2,74,309,2,,,,,,
5,3,326,2,74,310,1,1,3,,10,3,0
5,3,326,2,74,311,1,1,3,,60,35,15
5,3,326,2,74,312,2,,,,,,
5,3,326,2,74,313,1,1,2,,30,0,10
5,3,326,2,74,314,2,,,,,,
5,3,326,2,74,315,2,,,,,,
5,3,329,2,696,301,2,,,,,,
5,3,329,2,696,302,2,,,,,,
5,3,329,2,696,303,2,,,,,,
5,3,329,2,696,304,2,,,,,,
5,3,329,2,696,305,1,1,2,,120,120,25
5,3,329,2,696,306,1,1,2,,85,28,20
5,3,329,2,696,307,1,1,2,,50,15,18
5,3,329,2,696,308,2,,,,,,
5,3,329,2,696,309,2,,,,,,
5,3,329,2,696,310,1,1,3,,15,6,5
5,3,329,2,696,311,1,1,2,,80,30,20
5,3,329,2,696,312,2,,,,,,
5,3,329,2,696,313,2,,,,,,
5,3,329,2,696,314,2,,,,,,
5,3,329,2,696,315,2,,,,,,
5,3,331,1,516,301,2,,,,,,
5,3,331,1,516,302,2,,,,,,
5,3,331,1,516,303,2,,,,,,
5,3,331,1,516,304,2,,,,,,
5,3,331,1,516,305,1,3,2,,100,100,45
5,3,331,1,516,306,1,1,2,,80,30,50
5,3,331,1,516,307,1,2,2,,60,25,30
5,3,331,1,516,308,2,,,,,,
5,3,331,1,516,309,2,,,,,,
5,3,331,1,516,310,1,1,2,,10,4,2
5,3,331,1,516,311,1,1,3,,150,80,40
5,3,331,1,516,312,2,,,,,,
5,3,331,1,516,313,2,,,,,,
5,3,331,1,516,314,2,,,,,,
5,3,331,1,516,315,2,,,,,,
5,3,331,1,2322,301,2,,,,,,
5,3,331,1,2322,302,2,,,,,,
