"zone","state","lga","sector","ea","hhid","network_cd","sa10q2","sa10q2b","sa10q3"
4,4,421,1,800,40178,"N02",9,,2
4,4,411,1,1486,40181,"N01",10,,3
4,4,411,1,1486,40182,"N01",10,,3
4,4,411,1,1486,40182,"N02",10,,3
4,4,411,1,1486,40188,"N01",13,,3
4,4,411,1,1486,40189,"N01",9,,3
4,4,411,1,1486,40189,"N02",9,,3
4,4,411,1,1486,40190,"N01",9,,3
4,4,401,2,2106,40192,"N01",1,,2
4,4,401,2,2106,40193,"N01",2,,1
4,4,401,2,2106,40194,"N01",9,,6
4,4,401,2,2106,40194,"N02",12,,4
4,4,401,2,2106,40195,"N01",9,,3
4,4,401,2,2106,40196,"N01",1,,1
4,4,401,2,2106,40196,"N02",1,,1
4,4,401,2,2106,40196,"N03",1,,1
4,4,401,2,2106,40196,"N04",2,,1
4,4,401,2,2106,40199,"N01",9,,3
4,4,401,2,2106,40199,"N02",9,,3
4,4,401,2,2106,40200,"N01",31,"home product",1
4,4,401,2,2106,40200,"N02",10,,1
4,4,402,2,1080,40201,"N01",13,,5
4,4,402,2,1080,40201,"N02",10,,3
4,4,402,2,1080,40201,"N03",12,,4
4,4,402,2,1080,40202,"N01",9,,4
4,4,402,2,1080,40202,"N02",9,,3
4,4,402,2,1080,40204,"N01",9,,4
4,4,402,2,1080,40204,"N02",9,,3
4,4,402,2,1080,40206,"N01",9,,3
4,4,402,2,1080,40207,"N01",2,,1
4,4,402,2,1080,40207,"N02",9,,1
4,4,402,2,1080,40209,"N01",10,,1
4,4,402,2,1080,40209,"N02",1,,1
4,4,402,2,1080,40210,"N01",12,,4
4,4,403,2,836,40211,"N01",12,,4
4,4,403,2,836,40212,"N01",12,,5
4,4,403,2,836,40213,"N01",12,,4
4,4,403,2,836,40213,"N02",2,,3
4,4,403,2,836,40213,"N03",2,,1
4,4,403,2,836,40213,"N04",12,,3
4,4,403,2,836,40214,"N01",9,,4
4,4,403,2,836,40215,"N01",9,,4
4,4,403,2,836,40218,"N01",9,,3
4,4,403,2,836,40218,"N02",9,,3
4,4,403,2,836,40218,"N03",9,,3
4,4,403,2,836,40220,"N01",9,,3
4,4,403,2,836,40220,"N02",9,,3
2,5,506,2,830,50001,"N01",9,,2
2,5,506,2,830,50001,"N02",2,,2
2,5,506,2,830,50002,"N01",10,,5
2,5,506,2,830,50002,"N02",2,,2
2,5,506,2,830,50003,"N01",1,,1
2,5,506,2,830,50003,"N02",1,,1
2,5,506,2,830,50003,"N03",12,,3
2,5,506,2,830,50003,"N04",12,,3
2,5,506,2,830,50003,"N05",2,,1
2,5,506,2,830,50003,"N06",12,,3
2,5,506,2,830,50003,"N07",9,,2
2,5,506,2,830,50004,"N01",10,,2
2,5,506,2,830,50005,"N01",9,,4
