"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
2,2,209,2,1040,20010,2,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,24,9,,2,,,,,,,,,0
2,2,209,2,1040,20010,3,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20010,4,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20010,5,2,1,2,1,"MIXED  CROP GROWER",6114,"AGRICULTURE",1,5,18,9,,2,,,,,,,,,0
2,2,221,2,18,20013,1,2,1,2,1,"FIELD CROP FARMING",6111,"AGRICULTURE",1,5,53,9,,2,,,,,,,,,0
2,2,221,2,18,20013,2,2,2,1,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",47,5,40,9,,2,,,,,,,,,0
2,2,221,2,18,20013,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20013,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20013,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20013,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20013,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20016,1,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,5,17,9,,2,,,,,,,,,0
2,2,221,2,18,20016,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20016,3,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
2,2,221,2,18,20016,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20027,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20027,2,2,1,1,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",8,12,20,9,,0
2,2,201,2,60,20027,3,2,1,1,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",8,12,20,9,,0
2,2,201,2,60,20027,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,201,2,60,20027,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,201,2,60,20027,6,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,201,2,60,20027,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20027,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20027,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20027,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20029,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,56,9,,2,,,,,,,,,0
2,2,201,2,60,20030,1,1,1,2,1,"TEACHING PRIMARY EDUCATIO",2331,"EDUCATION",11,6,40,3,,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,12,9,,0
2,2,201,2,60,20030,2,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,28,9,,2,,,,,,,,,0
2,2,201,2,60,20030,3,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
2,2,201,2,60,20030,4,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
2,2,201,2,60,20030,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20030,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20030,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,48,9,,1,"FISH CAPTURE",6152,"AGRICULTURE",1,10,21,9,,0
2,2,216,2,200,20031,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,48,9,,2,,,,,,,,,0
2,2,216,2,200,20031,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20032,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20033,1,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,25,9,,2,,,,,,,,,0
2,2,216,2,200,20033,2,2,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,25,9,,1,"FISHING",6210,"FISHING",1,2,15,9,,0
2,2,216,2,200,20033,3,2,1,1,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,25,9,,1,"FISHING",6210,"FISHING",1,2,15,9,,0
2,2,216,2,200,20033,4,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,25,9,,2,,,,,,,,,0
2,2,216,2,200,20033,5,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
2,2,216,2,200,20033,6,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
