"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
2,2,210,2,1300,20068,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,210,2,1300,20068,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,210,2,1300,20068,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,210,2,1300,20068,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20068,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
2,2,210,2,1300,20069,1,2,1,1,1,"FARMING",6111,"AGRICULTURE",1,6,40,9,,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",47,12,35,9,,0
2,2,210,2,1300,20069,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
2,2,210,2,1300,20069,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20069,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20069,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
2,2,214,1,898,20072,2,2,1,2,1,"CROP FARMING",1311,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
2,2,214,1,898,20072,3,2,1,2,1,"CROP FARMING",1311,"AGRICULTURE",1,6,10,9,,2,,,,,,,,,0
2,2,214,1,898,20072,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20072,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20073,1,1,1,2,1,"CROP FARMING",6114,"AGRICULTURAL(AGRICULTURE)",1,6,5,9,,2,,,,,,,,,0
2,2,214,1,898,20073,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20073,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20073,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,214,1,898,20073,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,1,1,1,1,1,"CROP FARMING",1311,"AGRICULTURE",1,8,16,9,,2,,,,,,,,,0
