"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,105,2,638,10092,1,"FARMING",,,,,,9211,"AGRICULTURE",1,6,20,9,,2,,,,,,,,,0
4,1,105,2,638,10092,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10092,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,1,"CROP FARMING","ELECTRICIAN",,,,"CROP FARMING",9211,"AGRICULTURE",1,5,21,9,,1,"ELECTRICIAN",7136,"ELECTRICITY & GAS",96,6,15,9,,0
4,1,105,2,638,10094,2,"CLERK (MAIL )",,,,,"MESSENGER",4142,"PUBLIC ADMINISTRATION",82,12,40,3,,2,,,,,,,,,0
4,1,105,2,638,10094,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,3,"CROP FARMING",,,,,"CROP FARMING",9211,"CROP FARMING",1,6,4,9,,2,,,,,,,,,0
4,1,105,2,638,10096,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10096,9,"TRANSPORTATION",,,,,"TRANSPORTATION",8321,"CYCLIST",49,6,60,4,,2,,,,,,,,,0
4,1,105,2,638,10097,1,"CROP FARMING",,,,,"CROP FARMING",9211,,1,6,20,9,,2,,,,,,,,,0
4,1,105,2,638,10097,2,"CROP FARMING",,,,,"CROP FARMING",9211,,1,6,20,9,,2,,,,,,,,,0
4,1,105,2,638,10097,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10097,4,"TRANSPORTER",,,,,"TRANSPORTER",8321,,49,6,65,4,,2,,,,,,,,,0
4,1,105,2,638,10097,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10097,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10097,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10097,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10097,9,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10099,1,"FARMLAND & LABOURER",,,,,"FARMLAND & LABOURER",9211,"AGRICULTURE",1,8,36,9,,2,,,,,,,,,0
4,1,105,2,638,10100,1,"FARMING",,,,,"FARMLAND & LABOURER",9211,"AGRICULTURE",1,8,36,9,,2,,,,,,,,,0
4,1,105,2,638,10100,2,"FARMING",,,,,"FARMLAND & LABOURER",9211,"AGRICULTURE",1,8,36,9,,2,,,,,,,,,0
