"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c","s9q7d","tracked_obs"
2,2,218,2,1592,20117,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20118,4,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,8,,,4,5,6,,0
2,2,218,2,1592,20119,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20120,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30001,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30002,2,3,3,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30003,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30004,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30005,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30006,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30007,2,2,2,1,1,3,2,1,0,1,1,1,,,,1,9,,,,,,5,6,,,0
5,3,331,1,2322,30008,2,2,1,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30009,1,2,2,2,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30010,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
5,3,331,1,516,30011,1,1,1,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
