"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
4,4,410,1,3192,40149,6,2,2,7,1,0
4,4,410,1,3414,40151,5,2,2,9,1,0
4,4,410,1,3414,40152,2,2,2,8,1,0
4,4,410,1,3414,40154,4,2,2,8,1,0
4,4,410,1,3414,40155,10,2,2,5,1,0
4,4,410,1,3414,40157,7,2,2,5,1,0
4,4,410,1,3414,40158,3,2,2,8,1,0
4,4,410,1,3414,40159,1,2,2,9,1,0
4,4,401,1,738,40161,8,2,2,9,1,0
4,4,401,1,738,40163,11,2,2,9,1,0
4,4,401,1,738,40164,10,2,2,8,1,0
4,4,401,1,738,40165,7,2,2,8,1,0
4,4,401,1,738,40166,1,2,2,5,1,0
4,4,401,1,738,40168,2,2,2,7,1,0
4,4,401,1,738,40169,4,2,2,7,1,0
4,4,401,1,738,40170,5,2,2,8,1,0
4,4,421,1,800,40172,7,2,2,5,1,0
4,4,421,1,800,40174,12,2,2,7,1,0
4,4,421,1,800,40176,3,2,2,9,1,0
4,4,421,1,800,40177,5,2,2,9,1,0
4,4,421,1,800,40178,2,2,2,8,1,0
4,4,411,1,1486,40181,4,1,1,3,2,0
4,4,411,1,1486,40182,3,1,1,3,2,0
4,4,411,1,1486,40184,10,1,1,4,2,0
4,4,411,1,1486,40186,6,1,1,4,2,0
4,4,411,1,1486,40187,11,1,1,4,2,0
4,4,411,1,1486,40188,13,1,1,4,2,0
4,4,411,1,1486,40189,15,1,1,10,2,0
4,4,411,1,1486,40190,12,1,1,10,2,0
4,4,401,2,2106,40191,5,2,2,5,1,0
4,4,401,2,2106,40192,10,2,2,9,1,0
4,4,401,2,2106,40193,4,2,2,7,1,0
4,4,401,2,2106,40194,8,2,2,8,1,0
4,4,401,2,2106,40195,3,2,2,8,1,0
4,4,401,2,2106,40197,1,2,2,5,1,0
4,4,401,2,2106,40198,6,2,2,8,1,0
4,4,401,2,2106,40199,9,2,2,9,1,0
4,4,401,2,2106,40200,2,2,2,7,1,0
4,4,402,2,1080,40201,1,1,1,4,2,0
4,4,402,2,1080,40202,10,1,1,10,2,0
4,4,402,2,1080,40204,11,1,1,10,2,0
4,4,402,2,1080,40206,15,1,1,3,2,0
4,4,402,2,1080,40207,16,1,1,3,2,0
4,4,402,2,1080,40208,18,1,1,3,2,0
4,4,402,2,1080,40209,22,1,1,4,2,0
4,4,402,2,1080,40210,24,1,1,4,2,0
4,4,403,2,836,40211,1,1,1,4,2,0
4,4,403,2,836,40212,2,1,1,4,2,0
4,4,403,2,836,40213,3,1,1,10,2,0
2,5,506,2,830,50001,1,2,2,5,1,0
2,5,506,2,830,50002,,2,2,,,1
2,5,506,2,830,50004,7,2,2,6,2,0
2,5,506,2,830,50005,23,2,2,6,2,0
2,5,506,2,830,50006,10,2,2,5,2,0
2,5,506,2,830,50007,12,2,2,7,1,0
2,5,506,2,830,50008,14,2,2,7,1,0
2,5,506,2,830,50009,16,1,2,3,1,0
2,5,506,2,830,50010,25,1,2,9,1,0
2,5,502,1,2194,50016,23,1,2,3,,0
2,5,515,2,18,50021,2,2,2,7,2,0
2,5,515,2,18,50022,6,2,2,6,2,0
2,5,515,2,18,50023,10,2,2,5,2,0
2,5,515,2,18,50024,14,2,2,5,2,0
2,5,515,2,18,50025,18,2,2,7,2,0
2,5,515,2,18,50026,22,2,2,6,2,0
2,5,515,2,18,50027,26,2,2,5,2,0
