"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12a4","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq12b4","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18a4","sa9aq18b1","sa9aq18b2","sa9aq18b3","sa9aq18b4","tracked_obs"
5,6,608,1,3978,60021,3,"Carpfish",,1,8,5,2,0,,0,,,0,,,0,8,2,0,4,,,,,,,,,,0,,0,0,,,0,2,2,3,,2,2,3,,0
5,6,608,1,3978,60021,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60021,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60021,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60021,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,1,"Catfish",,1,16,2,3,0,,3,,12000,0,,,16,1,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,5,"Other (specify)",,1,16,2,3,0,,3,2,16000,0,,,16,0,,0,,1,1,2,3,,0,,,,0,,,0,,,0,1,2,3,,0,,,,0
5,6,608,1,3978,60022,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60030,1,"Catfish",,1,8,10,2,0,,0,,,0,,,0,4,2,0,,5,4,2,3,,4,2,1,,0,,,0,,,0,4,2,3,,4,2,1,,0
5,6,608,1,3978,60030,2,"Tilapia",,1,8,8,3,0,,0,,,0,,,0,4,3,0,,5,4,3,3,,4,3,1,,0,,,0,,,0,4,3,3,,4,3,1,,0
5,6,608,1,3978,60030,3,"Carpfish",,1,8,6,3,0,,0,,,0,,,0,4,3,0,,5,4,3,3,,4,3,1,,0,,,0,,,0,4,3,3,,4,3,1,,0
5,6,608,1,3978,60030,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60030,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60030,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60030,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,607,2,1892,60038,1,"Catfish",,1,6,8,2,,,0,,,0,,,0,5,2,,,3,5,2,3,,5,2,1,,0,,,,,,,5,2,3,,5,2,1,,0
5,6,607,2,1892,60038,2,"Tilapia",,1,7,10,2,,,0,,,0,,,0,5,2,,,3,5,2,3,,5,2,1,,0,,,,,,,5,2,3,,5,2,1,,0
5,6,607,2,1892,60038,3,"Carpfish",,1,7,5,2,,,0,,,0,,,0,5,2,,,3,5,2,3,,5,2,1,,0,,,,,,,5,2,3,,5,2,1,,0
5,6,607,2,1892,60038,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,607,2,1892,60038,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,607,2,1892,60038,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,607,2,1892,60038,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,601,2,640,60045,1,"Catfish",,1,12,25,2,,,0,,,0,,,0,25,2,,,6,7,2,4,,6,2,1,,0,,,,,,,7,2,4,,6,2,1,,0
5,6,601,2,640,60045,2,"Tilapia",,1,12,23,2,,,0,,,0,,,0,23,2,,,6,7,2,4,,10,2,3,,0,,,,,,,7,2,4,,10,2,3,,0
5,6,601,2,640,60045,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,601,2,640,60045,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,601,2,640,60045,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,601,2,640,60045,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,601,2,640,60045,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,1,"Catfish",,1,20,4,4,,,1,4,25000,2,3,,2,3,1,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,0
