"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,117,2,560,10074,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10078,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10079,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
