"cropname","agcropid","nscode","conversion"
"plantain",2170,32,25
"plantain",2170,33,40
"plantain",2170,34,75
"plantain",2170,41,5
"plantain",2170,42,8
"plantain",2170,43,15
"plantain",2170,61,15
"plantain",2170,62,25
"plantain",2170,63,40
"plantain",2170,71,60
"plantain",2170,72,85
"plantain",2170,73,110
"plantain",2170,74,150
"plantain",2170,81,1500
"plantain",2170,82,2000
"plantain",2170,83,2500
"potato",2180,11,20
"potato",2180,12,50
"potato",2180,13,100
"potato",2180,14,120
"potato",2180,21,15
"potato",2180,22,30
"potato",2180,23,50
"potato",2180,24,75
"potato",2180,31,10
"potato",2180,32,25
"potato",2180,33,40
"potato",2180,34,75
"potato",2180,51,3
"potato",2180,52,5
"potato",2180,53,8
"potato",2180,61,15
"potato",2180,62,25
"potato",2180,63,40
"potato",2180,71,60
"potato",2180,72,85
"potato",2180,73,110
"potato",2180,74,150
"potato",2180,91,10
"sweet potato",2181,11,20
"sweet potato",2181,12,50
"sweet potato",2181,13,100
"sweet potato",2181,14,120
"sweet potato",2181,21,15
"sweet potato",2181,22,30
"sweet potato",2181,23,50
"sweet potato",2181,24,75
"sweet potato",2181,31,10
"sweet potato",2181,32,25
"sweet potato",2181,33,40
"sweet potato",2181,34,75
"sweet potato",2181,51,3
"sweet potato",2181,52,5
"sweet potato",2181,53,8
"sweet potato",2181,61,15
"sweet potato",2181,62,25
"sweet potato",2181,63,40
"sweet potato",2181,71,60
