"zone","state","lga","sector","ea","hhid","qno1","qno2","hhno","tracked_obs"
2,5,508,2,718,50120,2,2,21,0
2,5,510,1,872,50124,2,2,4,0
2,5,510,1,872,50125,3,3,5,0
2,5,518,2,1588,50131,2,2,1,0
2,5,518,2,1588,50132,2,2,3,0
2,5,518,2,1588,50133,2,2,26,0
2,5,518,2,1588,50134,2,2,8,0
2,5,518,2,1588,50135,2,2,11,0
2,5,518,2,1588,50136,2,2,13,0
2,5,518,2,1588,50137,2,2,28,0
2,5,518,2,1588,50138,2,2,18,0
2,5,518,2,1588,50139,2,2,21,0
2,5,502,1,0,50140,,,,1
2,5,510,2,1516,50143,2,2,13,0
2,5,510,2,1516,50144,2,2,18,0
2,5,510,2,1516,50146,2,2,28,0
2,5,510,2,1516,50147,2,2,34,0
2,5,510,2,1516,50148,2,2,39,0
2,5,510,2,1516,50149,2,2,44,0
2,5,510,2,1516,50150,2,2,49,0
2,5,518,2,1304,50151,2,2,1,0
2,5,518,2,1304,50152,2,2,3,0
2,5,518,2,1304,50153,2,2,19,0
2,5,518,2,1304,50154,2,2,6,0
2,5,518,2,1304,50155,2,2,8,0
2,5,518,2,1304,50156,2,2,10,0
2,5,518,2,1304,50157,2,2,12,0
2,5,518,2,1304,50158,2,2,21,0
2,5,518,2,1304,50159,2,2,15,0
2,5,520,2,1756,50161,2,2,1,0
2,5,520,2,1756,50162,2,2,2,0
2,5,520,2,1756,50163,2,2,3,0
2,5,520,2,1756,50164,2,2,5,0
2,5,520,2,1756,50165,2,2,6,0
2,5,520,2,1756,50166,2,2,7,0
2,5,520,2,1756,50167,2,2,8,0
2,5,520,2,1756,50168,2,2,4,0
2,5,520,2,1756,50169,2,2,11,0
2,5,520,2,1756,50170,2,2,12,0
5,6,602,2,0,60001,,,,1
5,6,602,2,1356,60004,2,2,6,0
5,6,602,2,1356,60005,2,2,11,0
5,6,602,2,1356,60006,2,2,13,0
5,6,602,2,1356,60008,2,2,18,0
5,6,602,2,1356,60009,2,2,21,0
5,6,602,2,1356,60010,2,2,24,2
5,6,606,2,1372,60014,2,2,6,0
5,6,606,2,1372,60015,2,2,9,0
5,6,606,2,1372,60016,2,2,12,0
5,6,606,2,1372,60017,2,2,13,0
5,6,606,2,1372,60020,2,2,20,0
5,6,608,1,3978,60021,2,2,2,0
5,6,608,1,3978,60022,2,2,3,0
5,6,608,1,3978,60026,2,2,7,2
5,6,608,1,3978,60027,2,2,8,0
5,6,608,1,3978,60028,2,2,9,0
5,6,608,1,3978,60030,2,2,12,0
5,6,608,1,0,60032,,,0,1
5,6,608,1,0,60033,,,,1
5,6,601,2,640,60046,,,18,1
5,6,601,2,640,60048,2,2,28,0
5,6,605,2,162,60052,2,2,2,0
5,3,317,2,0,60053,,,0,1
5,6,605,2,0,60056,,,,1
5,6,605,2,0,60060,,,,1
5,6,608,1,0,60067,,,,1
1,7,707,2,560,70001,2,2,1,0
1,7,707,2,560,70002,2,2,2,0
1,7,707,2,560,70003,2,2,3,0
1,7,707,2,560,70005,2,2,5,0
1,7,707,2,560,70006,2,2,6,0
1,7,707,2,560,70007,2,2,7,0
1,7,707,2,560,70008,2,2,8,0
1,7,707,2,560,70009,2,2,9,0
1,7,707,2,560,70010,2,2,10,0
1,7,708,2,754,70011,2,2,1,0
1,7,708,2,754,70012,2,2,3,0
1,7,708,2,754,70013,2,2,4,0
1,7,708,2,754,70014,2,2,6,0
1,7,708,2,754,70015,2,2,7,0
1,7,708,2,754,70016,2,2,19,0
1,7,708,2,754,70017,2,2,11,0
1,7,708,2,754,70018,2,2,12,0
1,7,708,2,754,70019,2,2,20,0
1,7,708,2,754,70020,2,2,15,0
1,7,705,2,4186,70021,2,2,1,0
1,7,705,2,4186,70022,2,2,3,0
1,7,705,2,4186,70023,2,2,5,0
1,7,705,2,4186,70024,2,2,7,0
1,7,705,2,4186,70025,2,2,9,0
1,7,705,2,4186,70026,2,2,11,0
1,7,705,2,4186,70027,2,2,13,0
1,7,705,2,4186,70028,2,2,15,0
1,7,705,2,4186,70029,2,2,18,0
1,7,705,2,4186,70030,2,2,26,0
1,7,722,2,234,70031,2,2,1,0
1,7,722,2,234,70032,2,2,2,0
1,7,722,2,234,70033,2,2,4,0
1,7,722,2,234,70034,2,2,14,0
1,7,722,2,234,70035,2,2,16,0
1,7,722,2,234,70036,2,2,17,0
1,7,722,2,234,70037,2,2,9,0
1,7,722,2,234,70038,2,2,10,0
1,7,722,2,234,70039,2,2,11,0
1,7,722,2,234,70040,2,2,12,0
1,7,722,2,892,70041,2,2,1,0
1,7,722,2,892,70042,2,2,2,0
1,7,722,2,892,70043,2,2,4,0
1,7,722,2,892,70044,2,2,15,0
1,7,722,2,892,70045,2,2,7,0
1,7,722,2,892,70046,2,2,16,0
1,7,722,2,892,70047,2,2,9,0
1,7,722,2,892,70048,2,2,11,0
1,7,722,2,892,70049,2,2,12,0
1,7,722,2,892,70050,2,2,14,0
1,7,710,2,2726,70051,2,2,1,0
1,7,710,2,2726,70052,2,2,8,0
1,7,710,2,2726,70053,2,2,5,0
1,7,710,2,2726,70054,2,2,6,0
1,7,710,2,2726,70055,2,2,8,0
1,7,710,2,2726,70056,2,2,9,0
1,7,710,2,2726,70057,2,2,12,0
1,7,710,2,2726,70058,2,2,14,0
1,7,710,2,2726,70059,2,2,15,0
1,7,710,2,2726,70060,2,2,17,0
1,7,711,2,2532,70061,2,2,1,0
1,7,711,2,2532,70062,2,2,3,0
1,7,711,2,2532,70063,2,2,4,0
1,7,711,2,2532,70064,2,2,16,0
1,7,711,2,2532,70066,2,2,9,0
1,7,711,2,2532,70067,2,2,10,0
1,7,711,2,2532,70068,2,2,12,0
1,7,711,2,2532,70069,2,2,22,0
1,7,711,2,2532,70070,2,2,15,0
1,7,709,2,1226,70071,2,2,16,0
1,7,709,2,1226,70072,2,2,2,0
1,7,709,2,1226,70073,2,2,4,0
1,7,709,2,1226,70074,2,2,5,0
1,7,709,2,1226,70075,2,2,7,0
1,7,709,2,1226,70076,2,2,8,0
1,7,709,2,1226,70077,2,2,10,0
1,7,709,2,1226,70078,2,2,11,0
