"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fq1a","s11fq1b","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq5","s11fq6","s11fq7","s11fq8","s11fq9","s11fq9b","s11fq10","s11fq11","s11fq11b","s11fq12","tracked_obs"
4,1,117,2,560,10075,3,3,"MAIZE",1080,244,3,1,,5,2012,3,23,3,2,,,,,,,,,,0
4,1,117,2,560,10075,3,4,"OKRO",2120,77,3,1,,4,2012,5,31,1,2,,,,,,,,,,0
4,1,117,2,560,10075,4,1,"CASSAVA",1020,720,1,1,,3,2012,3,52,3,2,,,,,,,,,,0
4,1,117,2,560,10075,4,2,"MAIZE",1080,415,3,1,,3,2012,4,23,1,2,,,,,,,,,,0
4,1,117,2,560,10075,4,3,"MELON",1090,55,1,1,,3,2012,3,31,1,2,,,,,,,,,,0
4,1,117,2,560,10075,5,1,"CASSAVA",1020,1700,1,1,,3,2012,8,22,3,2,,,,,,,,,,0
4,1,117,2,560,10075,5,2,"MAIZE",1080,340,3,1,,3,2012,4,22,1,2,,,,,,,,,,0
4,1,117,2,560,10078,1,1,"CASSAVA",1020,1000,3,4,,4,2012,8,32,3,2,,,,,,,,,,0
4,1,117,2,560,10078,1,2,"YAM",1120,50,1,4,,4,2012,3,32,3,2,,,,,,,,,,0
4,1,117,2,560,10078,3,1,"CASSAVA",1020,300,3,4,,3,2012,5,32,3,2,,,,,,,,,,0
4,1,117,2,560,10078,3,2,"MAIZE",1080,250,3,4,,3,2012,3,31,1,2,,,,,,,,,,0
4,1,117,2,560,10078,4,1,"CASSAVA",1020,1100,3,1,,10,2011,12,32,3,2,,,,,,,,,,0
4,1,117,2,560,10079,1,1,"CASSAVA",1020,350,3,4,,4,2012,30,51,3,2,,,,,,,,,,0
4,1,117,2,560,10079,1,2,"YAM",1120,50,1,4,,4,2012,2,51,3,2,,,,,,,,,,0
4,1,117,2,560,10079,2,1,"CASSAVA",1020,250,3,4,,4,2012,30,51,3,2,,,,,,,,,,0
4,1,117,2,560,10079,2,2,"YAM",1120,50,1,4,,4,2012,2,51,3,2,,,,,,,,,,0
4,1,117,2,560,10080,1,1,"CASSAVA",1020,100,1,4,,4,2012,500,61,3,2,,,,,,,,,,0
4,1,117,2,560,10080,2,1,"CASSAVA",1020,200,1,4,,4,2012,1000,61,3,2,,,,,,,,,,0
4,1,117,2,560,10080,2,4,"OKRO",2120,50,3,4,,4,2012,3,31,3,2,,,,,,,,,,0
4,1,117,2,560,10080,2,5,"MAIZE",1080,60,3,4,,4,2012,5,21,1,2,,,,,,,,,,0
4,1,117,2,560,10080,3,1,"CASSAVA",1020,60,1,4,,4,2012,300,61,3,2,,,,,,,,,,0
4,1,117,2,560,10080,3,2,"YAM",1120,20,3,4,,4,2012,40,51,3,2,,,,,,,,,,0
4,1,117,2,560,10080,4,1,"CASSAVA",1020,80,1,4,,5,2012,300,61,3,2,,,,,,,,,,0
4,1,117,2,560,10080,4,2,"YAM",1120,20,3,4,,4,2012,25,51,3,2,,,,,,,,,,0
4,1,117,2,560,10080,4,3,"OKRO",2120,30,3,4,,4,2012,1,31,3,2,,,,,,,,,,0
4,1,117,2,560,10080,5,1,"PUMKIN",2190,60,1,4,,4,2012,5,61,3,2,,,,,,,,,,0
4,1,117,2,560,10080,5,2,"CASSAVA",1020,70,1,4,,5,2012,350,61,3,2,,,,,,,,,,0
4,1,110,2,76,10081,1,1,"CASSAVA",1020,2400,1,4,,4,2012,4,33,3,2,,,,,,,,,,0
4,1,110,2,76,10081,1,2,"MAIZE",1080,150,3,4,,3,2012,3,22,1,2,,,,,,,,,,0
4,1,110,2,76,10081,1,3,"PUMKIN",2193,21,1,4,,3,2012,18,62,1,2,,,,,,,,,,0
4,1,110,2,76,10081,1,4,"YAM",1120,20,1,4,,4,2012,25,52,3,2,,,,,,,,,,0
4,1,110,2,76,10081,2,1,"CASSAVA",1020,83,1,4,,3,2012,2,33,3,2,,,,,,,,,,0
4,1,110,2,76,10081,2,2,"MAIZE",1080,88,3,4,,3,2012,1,22,1,2,,,,,,,,,,0
