"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,4,405,2,484,40076,1,1,"CASSAVA",1020,5,3,5,1960,0,12,2011,7,2012,2,,,1000,42,0
4,4,405,2,484,40076,1,2,"MAIZE",1080,10,3,10,1970,0,12,2011,7,2012,2,,,1500,42,0
4,4,405,2,484,40076,1,3,"YAM",1120,4,3,4,1970,0,12,2011,7,2012,2,,,600,42,0
4,4,405,2,484,40077,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,405,2,484,40077,1,2,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,484,40077,2,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,484,40077,3,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40081,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,419,2,296,40081,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,419,2,296,40081,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,419,2,296,40081,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40082,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,419,2,296,40082,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,419,2,296,40082,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40085,1,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40085,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,419,2,296,40085,1,3,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,419,2,296,40085,1,4,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,419,2,296,40085,2,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40086,1,1,"CASSAVA",1020,10,3,10,1980,0,12,2011,12,2012,2,,,2300,42,0
4,4,419,2,296,40089,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,419,2,296,40089,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,419,2,296,40089,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,419,2,296,40089,2,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,419,2,296,40089,2,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,419,2,296,40089,2,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40093,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40093,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40093,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40093,1,4,"OKRO",2120,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40093,1,5,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40094,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
