"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3"
5,3,309,2,478,30033,"N4",31,,1
5,3,309,2,478,30033,"N5",2,,1
5,3,309,2,478,30038,"N1",6,,1
5,3,309,2,478,30038,"N2",2,,1
5,3,309,2,478,30038,"N3",12,,4
5,3,309,2,478,30040,"N1",1,,1
5,3,309,2,478,30040,"N2",9,,2
5,3,307,1,634,30043,"N1",2,,3
5,3,307,1,634,30043,"N2",9,,1
5,3,307,1,634,30045,"N1",31,,1
5,3,307,1,634,30045,"N2",17,,1
5,3,307,1,634,30047,"N1",3,,2
5,3,307,1,634,30048,"N1",2,,1
5,3,307,1,634,30049,"N1",12,,1
5,3,307,1,634,30049,"N2",1,,1
5,3,307,1,634,30049,"N3",31,"PRIVATE TRADER",4
5,3,321,2,364,30052,"N1",12,,3
5,3,321,2,364,30052,"N2",2,,1
5,3,321,2,364,30052,"N3",6,,1
5,3,321,2,364,30054,"N1",9,,1
5,3,321,2,364,30056,"N1",9,,2
5,3,321,2,364,30056,"N2",2,,1
5,3,321,2,364,30056,"N3",12,,2
5,3,321,2,364,30056,"N4",7,,1
5,3,321,2,364,30056,"N5",31,,2
5,3,321,2,364,30056,"N6",10,,2
5,3,321,2,364,30056,"N7",28,,3
5,3,321,2,364,30056,"N8",13,,3
5,3,321,2,364,30056,"N9",15,,1
5,3,321,2,364,30057,"N1",1,,1
5,3,321,2,364,30057,"N2",1,,1
5,3,321,2,364,30057,"N3",10,,5
5,3,321,2,364,30057,"N4",17,,6
5,3,321,2,364,30057,"N5",13,,6
5,3,321,2,364,30060,"N1",9,,1
5,3,321,2,364,30060,"N2",17,,2
5,3,329,2,696,30062,"N1",17,,6
5,3,329,2,696,30062,"N2",10,,1
5,3,329,2,696,30062,"N3",1,,1
5,3,329,2,696,30062,"N4",9,,2
5,3,329,2,696,30069,"N1",12,,2
5,3,329,2,696,30069,"N2",9,,1
5,3,329,2,696,30069,"N3",2,,1
5,3,329,2,696,30069,"N4",9,,1
5,3,329,2,696,30070,"N1",12,,2
5,3,329,2,696,30070,"N2",9,,1
5,3,323,2,580,30072,"N1",6,,2
5,3,323,2,580,30072,"N2",9,,2
5,3,323,2,580,30075,"N1",9,,1
5,3,323,2,580,30075,"N2",9,,1
5,3,323,2,580,30075,"N3",12,,2
5,3,323,2,580,30076,"N1",1,,1
5,3,323,2,580,30076,"N2",12,,2
5,3,323,2,580,30076,"N3",12,,2
5,3,323,2,580,30077,"N1",15,,6
5,3,323,2,580,30078,"N1",9,,1
5,3,318,2,1136,30084,"N1",10,,1
5,3,318,2,1136,30084,"N2",12,,2
5,3,318,2,1136,30087,"N1",12,,2
5,3,318,2,1136,30088,"N1",12,,2
5,3,318,2,1136,30088,"N2",12,,2
5,3,318,2,1136,30089,"N1",12,,5
5,3,318,2,1136,30089,"N2",6,,2
5,3,318,2,1136,30090,"N1",12,,5
5,3,318,2,1136,30090,"N2",6,,2
5,3,313,2,70,30091,"N1",12,,2
5,3,313,2,70,30093,"N1",6,,1
5,3,313,2,70,30093,"N2",9,,1
5,3,313,2,70,30093,"N3",9,,1
5,3,313,2,70,30099,"N1",12,,2
5,3,313,2,70,30099,"N2",9,,1
5,3,313,2,70,30099,"N3",1,,1
5,3,301,1,1198,30101,"N1",12,,3
5,3,301,1,1198,30102,"N1",7,,1
5,3,301,1,1198,30102,"N2",6,,1
5,3,301,1,1198,30104,"N1",9,,1
5,3,301,1,1198,30104,"N2",6,,1
5,3,301,1,1198,30105,"N1",12,,2
5,3,301,1,1198,30105,"N2",9,,1
5,3,301,1,1198,30108,"N1",17,,1
5,3,301,1,1198,30109,"N1",9,,1
5,3,301,1,1198,30109,"N2",3,,3
5,3,301,1,1198,30109,"N3",2,,1
5,3,301,1,1198,30110,"N1",15,,6
5,3,326,2,74,30111,"N1",3,,1
5,3,326,2,74,30111,"N2",6,,2
5,3,326,2,74,30113,"N1",1,,1
5,3,326,2,74,30113,"N2",2,,1
5,3,326,2,74,30113,"N3",31,,2
5,3,326,2,74,30113,"N4",12,,2
5,3,326,2,74,30113,"N5",12,,2
5,3,326,2,74,30113,"N6",15,,3
5,3,326,2,74,30113,"N7",15,,1
5,3,326,2,74,30115,"N1",1,,1
5,3,326,2,74,30120,"N1",12,,2
5,3,305,2,1542,30121,"N1",12,,2
5,3,305,2,1542,30121,"N2",12,,2
5,3,305,2,1542,30122,"N1",12,,2
5,3,305,2,1542,30122,"N2",9,,1
5,3,305,2,1542,30122,"N3",2,,1
5,3,305,2,1542,30123,"N1",15,,3
5,3,305,2,1542,30123,"N2",12,,2
5,3,305,2,1542,30123,"N3",12,,2
5,3,305,2,1542,30123,"N4",9,,1
5,3,305,2,1542,30124,"N1",2,,1
5,3,305,2,1542,30124,"N2",9,,1
5,3,305,2,1542,30126,"N1",9,,1
5,3,305,2,1542,30126,"N2",9,,1
5,3,305,2,1542,30127,"N1",2,,2
5,3,305,2,1542,30127,"N2",10,,2
5,3,312,2,20,30132,"N1",9,,1
5,3,312,2,20,30133,"N1",9,,1
5,3,312,2,20,30133,"N2",2,,1
5,3,312,2,20,30133,"N3",12,,2
5,3,312,2,20,30134,"N1",12,,2
5,3,312,2,20,30134,"N2",12,,2
5,3,312,2,20,30134,"N3",1,,1
5,3,312,2,20,30135,"N1",12,,4
5,3,312,2,20,30137,"N1",2,,1
5,3,312,2,20,30137,"N2",8,,1
5,3,312,2,20,30138,"N1",9,,1
5,3,312,2,20,30139,"N1",6,,1
5,3,312,2,20,30140,"N1",6,,1
5,3,305,2,4,30142,"N1",13,,2
5,3,305,2,4,30143,"N1",17,,1
5,3,305,2,4,30143,"N2",2,,1
5,3,305,2,4,30145,"N1",6,,1
5,3,305,2,4,30145,"N2",26,,1
5,3,305,2,4,30148,"N1",9,,1
5,3,305,2,4,30148,"N2",12,,2
5,3,305,2,4,30149,"N1",9,,1
4,4,414,1,2176,40031,"N1",10,,2
4,4,414,1,2176,40031,"N2",31,,3
4,4,414,1,2176,40033,"N1",9,,3
4,4,414,1,2176,40034,"N1",31,"SELF",1
4,4,414,1,2176,40034,"N2",9,,2
4,4,414,1,2176,40037,"N1",9,,3
4,4,414,1,2176,40037,"N2",1,,1
