"zone","state","lga","sector","ea","hhid","plotid","cropid","s11eq1","s11eq2","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq6c","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq10c","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15","s11eq16","s11eq17a","s11eq17b","s11eq17c","s11eq18","s11eq19","s11eq19b","s11eq20","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27","s11eq28a","s11eq28b","s11eq28c","s11eq29","s11eq30","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35"
4,1,106,2,880,10030,1,2,"CASSAVA",1020,1,1,1020,15,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,1,3,"MELON",1090,1,1,1090,10,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,1,"YAM",1120,1,1,1121,200,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,2,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,2,3,"BANANA",2030,1,1,2030,6,3,"SOCKER",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,1,"YAM",1120,1,2,,,,,,,2,,,,,,,,,,1,"N1",1121,20,3,"PIECE",100,6,,3000,1,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N2",1080,1,3,"PIECE",100,6,,50,1,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,3,"PUMKIN",2193,1,2,,,,,,,2,,,,,,,,,,1,"N2",2193,30,3,"PIECE",0,,,1400,1,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,4,"MANGO",3160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,5,"COCONUT",3050,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10039,1,1,"CASSAVA",1020,1,2,,,,,,,1,1020,1,3,"BUNDLE","N1",,0,1,,1,"N2",1080,,,,,,,,,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,10039,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N2",1080,2,3,"PIECE",100,5,,100,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,1,"GARDEN EGG",2080,1,1,2080,70,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,2,"PEPPER",2140,1,1,2140,30,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,1,1,1020,3,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,2,"MAIZE",1080,1,1,1080,4,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,1,1,1020,2,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,2,"MAIZE",1080,1,1,1080,2,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
