"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11gq1a","s11gq1b","s11gq1c","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","s11gq8c"
6,13,1310,1,1300,130007,1,1,3040,1,6,,999,1982,0,4,2009,2,2010,1,2,,50,1,
6,13,1307,1,268,130025,2,1,3111,6,5,,999,,0,,,,,2,,,0,,
6,13,1307,1,268,130025,2,2,3040,6,5,,999,,0,,,,,2,,,0,,
6,13,1303,1,626,130034,1,1,3040,3,5,,999,1977,0,3,2010,10,2010,1,2,,200,1,
6,13,1305,1,1232,130042,2,1,3040,2,6,,999,1998,0,4,2010,8,2010,1,2,,100,1,
6,13,1305,1,1232,130048,1,1,3040,4,5,,999,1982,0,4,2010,8,2010,1,2,,100,1,
6,13,1309,2,674,130051,1,1,3040,3,5,,999,1987,0,8,2010,12,2010,2,,,25,1,
6,13,1309,2,674,130051,1,2,3110,40,3,,40,1987,0,3,2010,12,2010,2,,,0,,
6,13,1309,2,674,130052,1,1,3040,2,5,,999,1985,0,6,2010,10,2010,2,,,100,1,
6,13,1309,2,674,130052,1,2,,1,5,,200,2010,200,,,,,2,,,0,,
6,13,1309,2,674,130053,1,1,3040,2,5,,999,1988,0,1,2010,12,2010,1,2,,15,1,
6,13,1309,2,674,130053,1,2,2170,250,3,,250,2008,0,2,2010,12,2010,1,6,,4,2,
6,13,1309,2,674,130054,1,1,3040,1000,3,,999,1975,0,4,2010,11,2010,2,,,100,1,
