"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11hq1","s11hq2a","s11hq2b","s11hq2c","s11hq3","s11hq4","s11hq5a","s11hq5b","s11hq5c","s11hq6","s11hq7a","s11hq7b","s11hq8","s11hq9","s11hq9b","s11hq10","s11hq11","s11hq12a","s11hq12b","s11hq12c","s11hq13","s11hq14a","s11hq14b","s11hq15","s11hq16","s11hq16b","s11hq17a","s11hq17b","s11hq17c","s11hq18a","s11hq18b","s11hq18c","s11hq19a","s11hq19b","s11hq19c","s11hq20a","s11hq20b","s11hq20c","s11hq20d","s11hq21","s11hq21b","s11hq22","s11hq23","s11hq23b","s11hq24a","s11hq24b","s11hq24c","s11hq25a","s11hq25b","s11hq25c","s11hq26a","s11hq26b","s11hq26c"
4,1,107,2,1044,10061,1,2,2140,1,200,1,,4000,"N2",700,1,,200,1,,100,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10061,2,2,1080,1,100,3,,1400,"N3",100,3,,1400,1,,200,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10061,3,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10061,3,2,1080,1,100,3,,1400,"N3",100,3,,1400,1,,200,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10062,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10062,1,2,1080,1,100,3,,2000,"N4",80,3,,1600,1,,100,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,1,2,,20,3,,2,,,1,3,
4,1,107,2,1044,10062,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10062,2,2,1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10062,3,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10062,4,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10063,3,3,3180,1,80,4,"LITRE",12000,"N2",80,4,"LITRES",12000,2,,200,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10064,1,1,1121,1,9,4,"BASIN",5500,"N3",,,,,2,,300,2,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,107,2,1044,10064,1,2,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
