"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,110,2,76,10082,2,1,1020,1021,1,,4,,3,2010,300,1,,2
4,1,110,2,76,10082,2,2,1080,540,3,,4,,3,2010,540,3,,2
4,1,110,2,76,10082,3,1,1020,405,1,,4,,3,2010,75,1,,2
4,1,110,2,76,10082,3,2,2193,10,1,,4,,3,2010,62,4,"BUNDLE",1
4,1,110,2,76,10084,1,1,1020,1400,3,,4,,3,2010,7,4,"BUNDLE",
4,1,110,2,76,10084,1,2,1080,1000,3,,4,,3,2010,2,1,,2
4,1,110,2,76,10084,2,1,1020,300,3,,4,,4,2010,4,4,"BUNDLE",2
4,1,110,2,76,10084,2,2,1080,330,3,,4,,4,2010,1,1,,2
4,1,110,2,76,10084,3,1,1020,280,3,,4,,4,2010,3,4,"BUNDLE",2
4,1,110,2,76,10084,3,2,1080,300,3,,4,,3,2010,1,1,,2
4,1,110,2,76,10085,1,1,1120,80,1,,4,,3,2010,120,3,,
4,1,110,2,76,10085,1,2,1080,300,3,,4,,3,2010,10,4,"BASIN",2
4,1,110,2,76,10085,1,3,1020,350,3,,4,,3,2010,14,4,"BASIN",2
4,1,110,2,76,10085,2,1,1020,450,3,,1,,4,2010,16,4,"BASIN",
4,1,110,2,76,10086,1,1,1020,1000,1,,1,,4,2010,900,1,,
4,1,110,2,76,10087,1,1,1020,1200,1,,4,,4,2010,1000,1,,
4,1,110,2,76,10087,1,2,1080,100,3,,4,,4,2010,250,3,,
4,1,110,2,76,10087,2,1,1020,1000,1,,1,,4,2010,900,1,,
4,1,110,2,76,10087,3,1,1020,1100,1,,4,,4,2010,1000,1,,
4,1,110,2,76,10087,3,2,1080,100,3,,4,,4,,300,3,,
4,1,110,2,76,10087,4,1,1020,1000,1,,4,,4,2010,1000,1,,
4,1,110,2,76,10087,4,2,2193,80,1,,4,,4,2010,40,4,"BUNDLE",
4,1,110,2,76,10087,4,3,1120,100,1,,4,,4,2010,100,3,,
4,1,110,2,76,10088,1,1,1020,1000,1,,1,,4,2010,1000,1,,
4,1,110,2,76,10088,2,1,1080,400,3,,4,,4,2010,1800,3,,
4,1,110,2,76,10088,2,2,1020,1000,1,,4,,4,2010,900,1,,
4,1,110,2,76,10088,3,1,1120,50,1,,4,,4,2010,60,3,,
4,1,110,2,76,10088,3,2,2193,80,1,,4,,4,2010,30,4,"BUNDLE",
4,1,105,2,638,10091,1,1,1121,2000,1,,4,,4,2010,600,3,,
4,1,105,2,638,10091,1,2,1020,,3,,4,,4,2010,60,4,"BASIN",2
4,1,105,2,638,10091,1,3,1080,,3,,4,,4,2010,30,4,"BASIN",2
4,1,105,2,638,10091,1,4,1090,,1,,4,,4,2010,50,4,"CUP",2
4,1,105,2,638,10091,2,1,1020,2000,3,,4,,5,2010,40,4,"BASIN",
4,1,105,2,638,10091,2,2,1090,,1,,4,,5,2010,30,4,"CUP",
4,1,105,2,638,10091,2,3,1080,,3,,4,,5,2010,,,,
4,1,105,2,638,10091,3,1,1020,2000,3,,4,,4,2010,,,,
4,1,105,2,638,10091,3,2,1090,,1,,4,,4,2010,,,,
4,1,105,2,638,10091,3,3,1080,,3,,4,,4,2010,,,,
4,1,105,2,638,10092,1,1,1020,1000,3,,4,,4,2010,40,4,"BASIN",
4,1,105,2,638,10092,1,2,1080,,3,,4,,4,2010,20,4,"BASIN",
4,1,105,2,638,10092,1,3,1090,,1,,4,,4,2010,15,4,"CUP",
4,1,105,2,638,10092,2,1,1020,800,3,,4,,5,2010,20,4,"BASIN",
4,1,105,2,638,10092,2,2,2191,,1,,4,,5,2010,20,3,,
4,1,105,2,638,10092,2,3,2120,,3,,4,,5,2010,50,3,,
