"zone","state","lga","sector","ea","pid","sc1q3","sc1q4","sc1q5a","sc1q5b","sc1q6","sc1q7"
2,2,207,2,1302,7,2,,,5,18,26
2,2,207,2,1302,8,1,,,9,36,0
2,2,209,2,1040,1,1,,1,,48,31
2,2,209,2,1040,2,1,,1,,59,0
2,2,209,2,1040,3,1,,6,,25,0
2,2,209,2,1040,4,2,,8,,39,26
2,2,209,2,1040,5,2,,6,,5,26
2,2,209,2,1040,6,2,,6,,33,26
2,2,209,2,1040,7,1,,6,,65,0
2,2,209,2,1040,8,1,,6,,25,26
2,2,209,2,1040,9,1,,6,,68,0
2,2,210,2,1300,1,1,,,1,53,16
2,2,210,2,1300,2,1,,,3,3,26
2,2,210,2,1300,3,1,,,7,15,41
2,2,210,2,1300,4,1,,,4,30,41
2,2,210,2,1300,5,1,,,11,35,26
2,2,212,2,956,1,1,,,1,50,0
2,2,212,2,956,2,2,,,7,40,0
2,2,212,2,956,3,1,,,11,40,0
2,2,212,2,956,4,1,,,11,40,0
2,2,212,2,956,5,1,,,11,40,0
2,2,212,2,956,6,1,,,11,40,0
2,2,212,2,956,7,2,,,8,30,0
2,2,212,2,956,8,2,,,11,50,0
2,2,212,2,956,9,1,,,11,50,0
2,2,214,2,898,1,1,,,1,40,26
2,2,214,2,898,2,1,,,8,61,42
2,2,214,2,898,3,1,,,3,49,26
2,2,214,2,898,4,1,,,5,52,42
2,2,214,2,898,5,1,,,11,15,26
2,2,214,2,898,6,2,,,8,20,26
2,2,215,1,8,1,1,,,1,40,16
2,2,215,1,8,2,1,,,3,35,16
2,2,215,1,8,3,1,,,8,40,16
2,2,215,1,8,4,1,,,4,2,42
2,2,215,1,8,5,1,,,8,25,26
2,2,215,1,8,6,1,,,5,20,42
2,2,215,1,8,7,2,,,11,18,26
2,2,215,1,8,8,1,,,8,20,26
2,2,215,1,8,9,1,,,9,30,51
2,2,216,2,200,1,1,,1,,30,26
2,2,216,2,200,2,2,,2,,20,16
2,2,216,2,200,3,1,,9,,30,26
2,2,216,2,200,4,1,,7,,20,26
2,2,216,2,200,5,2,,11,,35,0
2,2,216,2,200,6,1,,4,,43,16
2,2,216,2,200,7,1,,5,,37,16
2,2,216,2,200,8,2,,11,,16,11
2,2,216,2,200,9,1,,5,,20,11
2,2,218,2,1592,1,1,,,1,35,0
2,2,218,2,1592,2,1,,,9,37,0
2,2,218,2,1592,3,1,,,3,38,0
2,2,218,2,1592,4,1,,,3,20,0
2,2,218,2,1592,5,1,,,3,20,0
2,2,218,2,1592,6,1,,,3,17,0
2,2,218,2,1592,7,1,,,3,35,0
2,2,218,2,1592,8,1,,,3,20,0
2,2,218,2,1592,9,1,,,3,30,0
2,2,221,2,18,1,1,,1,,50,0
2,2,221,2,18,2,1,,9,,11,16
2,2,221,2,18,3,1,,3,,45,16
2,2,221,2,18,4,1,,3,,22,0
2,2,221,2,18,5,2,,2,,22,0
2,2,221,2,18,6,2,,2,,19,0
2,2,221,2,18,7,1,,11,,25,26
2,2,221,2,18,8,1,,9,,28,26
2,5,501,2,60,1,1,,1,,62,51
2,5,501,2,60,2,1,,9,,65,51
