"zone","state","lga","sector","ea","item_cd","sc2q2","sc2q3a","sc2q3b","sc2q3c"
1,22,2203,2,266,33,1,15,1,2
1,22,2203,2,266,34,1,150,1,101
1,22,2203,2,266,35,1,500,1,42
1,22,2203,2,266,36,1,80,700,102
1,22,2203,2,266,40,1,200,1,6
1,22,2203,2,266,41,1,200,1,6
1,22,2203,2,266,42,1,400,1,6
1,22,2203,2,266,43,1,100,1,6
1,22,2203,2,266,44,1,400,1,6
1,22,2203,2,266,50,1,4550,20,103
1,22,2203,2,266,51,1,150,450,102
1,22,2203,2,266,52,1,50,1,2
1,22,2203,2,266,53,1,150,35,106
1,22,2203,2,266,60,1,20,65,102
1,22,2203,2,266,61,1,20,130,102
1,22,2203,2,266,70,1,100,1,6
1,22,2203,2,266,71,1,30,70,102
1,22,2203,2,266,72,1,20,1,106
1,22,2203,2,266,73,1,20,1,106
1,22,2203,2,266,74,1,20,1,106
1,22,2203,2,266,75,1,50,1,106
1,22,2203,2,266,76,1,20,1,2
1,22,2203,2,266,77,1,10,1,106
1,22,2203,2,266,78,1,10,1,106
1,22,2203,2,266,80,1,1200,1,106
1,22,2203,2,266,81,1,300,1,106
1,22,2203,2,266,82,1,600,1,106
1,22,2203,2,266,83,1,30,1,106
1,22,2203,2,266,84,1,20,1,106
1,22,2203,2,266,90,1,20,20,102
1,22,2203,2,266,91,1,20,20,102
1,22,2203,2,266,93,1,5000,1,106
1,22,2203,2,266,100,1,400,440,102
1,22,2203,2,266,101,1,100,85,102
1,22,2203,2,266,102,1,50,36,102
1,22,2203,2,266,103,1,300,43,102
1,22,2203,2,266,110,1,20,1,2
1,22,2203,2,266,111,1,435,450,102
1,22,2203,2,266,112,1,1300,450,102
1,22,2203,2,266,113,1,100,170,102
1,22,2203,2,266,121,1,30,22,102
1,22,2203,2,266,122,1,650,450,102
1,22,2203,2,266,130,1,200,1,106
1,22,2203,2,266,132,1,60,1,2
1,22,2203,2,266,140,1,25,1,2
1,22,2203,2,266,150,1,100,75,106
1,22,2203,2,266,151,1,5,60,106
1,22,2203,2,266,152,1,70,33,106
1,22,2203,2,266,153,1,60,35,106
1,22,2203,2,266,160,1,120,60,106
1,22,2203,2,266,162,1,100,35,106
1,22,2203,2,266,163,1,10,1,106
1,22,2203,2,266,164,1,50,1,6
1,22,2203,2,530,10,1,6000,20,11
1,22,2203,2,530,11,1,6000,20,11
1,22,2203,2,530,12,1,4000,20,11
1,22,2203,2,530,13,1,250,1,6
1,22,2203,2,530,14,1,300,1,6
1,22,2203,2,530,15,1,20,30,102
1,22,2203,2,530,16,1,20,1,3
1,22,2203,2,530,17,1,200,1,6
1,22,2203,2,530,18,1,100,1,6
1,22,2203,2,530,30,1,300,1,21
1,22,2203,2,530,31,1,300,980,102
1,22,2203,2,530,32,1,10,1,2
