"zone","state","lga","sector","ea","hhid","topic_cd","s11l1q1","s11l1q2","s11l1q2_os"
4,1,104,2,1020,19052,4,2,,
4,1,104,2,1020,19052,5,2,,
4,1,104,2,1020,19052,6,2,,
4,1,104,2,1020,19052,7,2,,
4,1,104,2,1020,19052,8,2,,
4,1,104,2,1020,19052,9,2,,
4,1,104,2,1020,19052,10,2,,
4,1,104,2,1020,19052,11,2,,
4,1,104,2,1020,19052,12,2,,
4,1,104,2,1020,19054,1,2,,
4,1,104,2,1020,19054,2,2,,
4,1,104,2,1020,19054,3,2,,
4,1,104,2,1020,19054,4,2,,
4,1,104,2,1020,19054,5,2,,
4,1,104,2,1020,19054,6,2,,
4,1,104,2,1020,19054,7,2,,
4,1,104,2,1020,19054,8,2,,
4,1,104,2,1020,19054,9,2,,
4,1,104,2,1020,19054,10,2,,
4,1,104,2,1020,19054,11,2,,
4,1,104,2,1020,19054,12,2,,
4,1,104,2,1020,19055,1,1,11,
4,1,104,2,1020,19055,2,1,11,
4,1,104,2,1020,19055,3,2,,
4,1,104,2,1020,19055,4,2,,
4,1,104,2,1020,19055,5,2,,
4,1,104,2,1020,19055,6,2,,
4,1,104,2,1020,19055,7,2,,
4,1,104,2,1020,19055,8,2,,
4,1,104,2,1020,19055,9,2,,
4,1,104,2,1020,19055,10,2,,
4,1,104,2,1020,19055,11,2,,
4,1,104,2,1020,19055,12,2,,
4,1,104,2,1020,19056,1,2,,
4,1,104,2,1020,19056,2,2,,
4,1,104,2,1020,19056,3,2,,
4,1,104,2,1020,19056,4,2,,
4,1,104,2,1020,19056,5,1,11,
4,1,104,2,1020,19056,6,2,,
4,1,104,2,1020,19056,7,2,,
4,1,104,2,1020,19056,8,2,,
4,1,104,2,1020,19056,9,2,,
4,1,104,2,1020,19056,10,2,,
4,1,104,2,1020,19056,11,2,,
4,1,104,2,1020,19056,12,2,,
4,1,104,2,1020,19058,1,2,,
4,1,104,2,1020,19058,2,2,,
4,1,104,2,1020,19058,3,2,,
4,1,104,2,1020,19058,4,2,,
4,1,104,2,1020,19058,5,2,,
4,1,104,2,1020,19058,6,2,,
4,1,104,2,1020,19058,7,2,,
4,1,104,2,1020,19058,8,2,,
4,1,104,2,1020,19058,9,2,,
4,1,104,2,1020,19058,10,2,,
4,1,104,2,1020,19058,11,2,,
4,1,104,2,1020,19058,12,2,,
4,1,104,2,1020,19060,1,2,,
4,1,104,2,1020,19060,2,2,,
4,1,104,2,1020,19060,3,1,11,
