"zone","state","lga","sector","ea","cluster_id","InterviewDate"
3,36,3611,1,10,"3611-10",1/13/2019 07:58:21
3,36,3613,2,1066,"3613-1066",1/17/2019 04:04:49
3,36,3613,2,1808,"3613-1808",1/19/2019 05:09:29
1,37,3701,1,308,"3701-308",1/9/2019 09:09:33
1,37,3702,1,1102,"3702-1102",1/17/2019 06:34:44
1,37,3702,1,158,"3702-158",1/21/2019 06:13:35
1,37,3702,1,972,"3702-972",1/19/2019 06:51:17
1,37,3703,1,202,"3703-202",1/29/2019 04:57:41
1,37,3703,1,236,"3703-236",1/31/2019 02:55:01
1,37,3704,2,214,"3704-214",1/15/2019 07:02:02
1,37,3705,2,254,"3705-254",1/7/2019 05:39:16
1,37,3705,2,32,"3705-32",1/11/2019 07:32:07
1,37,3706,1,1376,"3706-1376",1/27/2019 06:02:39
1,37,3706,1,156,"3706-156",1/23/2019 04:14:16
1,37,3706,1,1836,"3706-1836",1/25/2019 08:57:39
1,37,3706,1,4144,"3706-4144",1/13/2019 08:48:33
4,4,402,2,1080,"402-1080",1/7/2019 06:38:02
4,4,402,2,874,"402-874",1/17/2019 05:59:27
4,4,405,2,716,"405-716",1/31/2019 08:25:25
4,4,407,1,680,"407-680",1/11/2019 05:00:11
4,4,408,2,630,"408-630",1/21/2019 05:17:54
4,4,412,1,1562,"412-1562",1/29/2019 05:53:40
4,4,416,1,372,"416-372",1/25/2019 05:20:04
4,4,416,1,730,"416-730",1/27/2019 07:58:56
4,4,417,1,114,"417-114",1/13/2019 08:14:58
4,4,417,1,678,"417-678",1/19/2019 07:12:44
4,4,419,1,1006,"419-1006",1/9/2019 10:23:07
4,4,420,1,1296,"420-1296",1/15/2019 05:50:47
4,4,421,1,800,"421-800",1/23/2019 05:02:40
2,5,502,2,3878,"502-3878",1/7/2019 03:43:59
2,5,502,1,562,"502-562",1/30/2019 03:50:38
2,5,503,2,246,"503-246",1/15/2019 04:36:49
2,5,504,2,1162,"504-1162",1/13/2019 05:13:41
2,5,504,2,406,"504-406",1/11/2019 05:39:10
