"zone","state","lga","sector","ea","hhid","s11eq12","s11eq19"
4,4,408,2,630,49025,,500
4,4,408,2,630,49026,100,200
4,4,408,2,630,49027,,
4,4,408,2,630,49030,,
4,4,408,2,630,49034,,1000
4,4,408,2,630,49035,200,400
4,4,408,2,630,49036,,0
4,4,412,1,1562,49037,,500
4,4,412,1,1562,49038,,
4,4,412,1,1562,49039,,
4,4,412,1,1562,49040,400,800
4,4,412,1,1562,49041,,
4,4,412,1,1562,49042,,400
4,4,412,1,1562,49043,,400
4,4,412,1,1562,49044,,
4,4,412,1,1562,49045,,
4,4,412,1,1562,49046,,5000
4,4,416,1,372,49051,,
4,4,416,1,372,49055,,
4,4,416,1,372,49060,,0
4,4,416,1,730,49070,,600
4,4,416,1,730,49071,,0
4,4,417,1,114,49076,,
4,4,417,1,114,49077,100,100
4,4,417,1,114,49080,,500
4,4,417,1,114,49083,,1500
4,4,419,1,1006,49085,,
4,4,419,1,1006,49086,,
4,4,419,1,1006,49088,,1000
4,4,419,1,1006,49090,,300
4,4,419,1,1006,49091,100,
4,4,419,1,1006,49093,0,1820
4,4,419,1,1006,49094,,100
4,4,419,1,1006,49095,19500,300
4,4,420,1,1296,49097,300,1200
4,4,420,1,1296,49100,,
4,4,420,1,1296,49101,,250
4,4,420,1,1296,49102,,6000
4,4,420,1,1296,49103,,2000
4,4,420,1,1296,49104,200,2000
4,4,420,1,1296,49105,,200
4,4,420,1,1296,49106,,
4,4,420,1,1296,49108,,800
4,4,405,2,716,49111,,800
4,4,405,2,716,49112,,0
4,4,408,2,630,49113,,
4,4,408,2,630,49114,,2000
4,4,419,1,1006,49124,,500
4,4,407,1,680,49126,,
4,4,407,1,680,49129,,
4,4,407,1,680,49130,,5000
4,4,407,1,680,49131,,
4,4,407,1,680,49132,,
4,4,407,1,680,49133,,7500
4,4,407,1,680,49134,,400
4,4,407,1,680,49135,,100
4,4,407,1,680,49136,,0
4,4,407,1,680,49137,,0
2,5,506,2,830,50001,,
2,5,506,2,830,50002,,
2,5,506,2,830,50003,,
2,5,506,2,830,50004,,
2,5,506,2,830,50005,,
2,5,506,2,830,50006,,
2,5,506,2,830,50007,,400
2,5,506,2,830,50008,,200
2,5,506,2,830,50009,,
2,5,502,2,3878,50031,,400
2,5,502,2,3878,50032,100,200
2,5,502,2,3878,50033,,1500
2,5,502,2,3878,50034,,
2,5,502,2,3878,50035,,1000
2,5,502,2,3878,50036,,400
2,5,502,2,0,50037,,300
2,5,502,2,3878,50038,,200
2,5,502,2,3878,50039,,
2,5,502,2,3878,50040,,
2,5,513,2,348,50051,,100
2,5,513,2,348,50052,,200
2,5,513,2,348,50053,,5000
2,5,513,2,348,50054,,
2,5,513,2,348,50055,,100
2,5,513,2,348,50056,,
2,5,513,2,348,50057,,5000
2,5,513,2,348,50058,100,100
2,5,513,2,348,50059,,200
2,5,513,2,348,50060,,
2,5,508,2,984,50091,,200
2,5,508,2,984,50092,,100
2,5,508,2,984,50093,,100
2,5,508,2,984,50094,,
2,5,508,2,984,50095,,
2,5,508,2,984,50097,,
2,5,508,2,984,50099,,
2,5,508,2,984,50100,,
2,5,518,2,1588,50131,,
2,5,518,2,1588,50132,,100
2,5,518,2,1588,50133,,
2,5,518,2,1588,50134,,
2,5,518,2,1588,50135,,300
2,5,518,2,1588,50136,,
2,5,518,2,1588,50137,,
2,5,518,2,1588,50138,,200
2,5,518,2,1588,50139,,
1,31,3105,1,0,50140,,
2,5,518,2,1304,50151,,100
2,5,518,2,1304,50152,,100
2,5,518,2,1304,50153,,300
2,5,518,2,1304,50154,,
2,5,518,2,1304,50155,,
2,5,518,2,1304,50156,,
2,5,518,2,1304,50157,,200
2,5,518,2,1304,50158,,
2,5,518,2,1304,50159,,200
2,5,518,2,1304,50160,,
2,5,520,2,1756,50161,,
2,5,520,2,1756,50162,,500
2,5,520,2,1756,50163,,
2,5,520,2,1756,50164,,1000
2,5,520,2,1756,50165,,300
2,5,520,2,1756,50166,,400
2,5,520,2,1756,50167,,
2,5,520,2,1756,50168,,600
2,5,520,2,1756,50169,,1000
2,5,520,2,1756,50170,,300
2,5,502,1,562,59005,,
2,5,502,1,562,59006,,
2,5,502,1,562,59012,,
2,5,503,2,246,59013,,100
2,5,503,2,246,59014,100,100
2,5,503,2,246,59015,,100
2,5,503,2,246,59016,,
2,5,503,2,246,59017,,
2,5,503,2,246,59018,,
2,5,503,2,246,59021,,
2,5,503,2,246,59022,100,
2,5,503,2,246,59023,,300
2,5,503,2,246,59024,,
2,5,504,2,406,59025,,
2,5,504,2,406,59026,,1000
2,5,504,2,406,59027,,300
2,5,504,2,406,59028,,2000
2,5,504,2,406,59030,,200
2,5,504,2,406,59031,,200
2,5,504,2,406,59032,300,200
2,5,504,2,406,59034,,
2,5,504,2,406,59035,,
2,5,504,2,406,59036,,200
2,5,504,2,1162,59037,,
2,5,504,2,1162,59039,,
2,5,504,2,1162,59040,,
2,5,504,2,1162,59041,,
2,5,504,2,1162,59042,,
2,5,504,2,1162,59043,,600
2,5,504,2,1162,59044,,
2,5,504,2,1162,59046,300,200
2,5,504,2,1162,59047,,200
2,5,504,2,1162,59048,,200
2,5,505,2,1292,59049,,
2,5,505,2,1292,59050,,
2,5,505,2,1292,59052,,
2,5,505,2,1292,59054,,
2,5,505,2,1292,59056,,
2,5,505,2,1292,59057,,400
2,5,505,2,1292,59058,,400
2,5,505,2,1292,59059,,300
2,5,505,2,1292,59060,,
2,5,505,2,1716,59062,,
2,5,505,2,1716,59063,,
2,5,505,2,1716,59064,,
2,5,505,2,1716,59066,,
2,5,505,2,1716,59067,,
2,5,505,2,1716,59068,,
2,5,505,2,1716,59069,,600
2,5,505,2,1716,59070,200,300
2,5,505,2,1716,59071,,700
2,5,505,2,1716,59072,100,300
2,5,506,2,696,59073,,200
2,5,506,2,696,59075,,
2,5,506,2,696,59076,,
2,5,506,2,696,59077,100,100
2,5,506,2,696,59078,,
2,5,506,2,696,59079,,
2,5,506,2,696,59080,,
2,5,506,2,696,59081,,
2,5,506,2,696,59083,,200
2,5,506,2,696,59084,,
2,5,507,2,230,59085,,200
2,5,507,2,230,59086,,600
2,5,507,2,230,59087,,300
2,5,507,2,230,59088,,600
2,5,507,2,230,59089,,300
2,5,507,2,230,59090,,400
2,5,507,2,230,59092,,
2,5,507,2,230,59093,,
2,5,507,2,230,59094,,600
2,5,507,2,230,59095,,
2,5,509,2,1064,59097,,
2,5,509,2,1064,59098,,
2,5,509,2,1064,59099,,
2,5,509,2,1064,59101,,100
2,5,509,2,1064,59102,,200
2,5,509,2,1064,59103,,100
2,5,509,2,1064,59104,,500
2,5,509,2,1064,59105,,100
2,5,509,2,1064,59106,,
2,5,509,2,1064,59108,,200
2,5,508,2,2196,59110,,
2,5,508,2,2196,59111,,
2,5,508,2,2196,59112,,
2,5,508,2,2196,59113,,
2,5,508,2,2196,59115,,200
2,5,508,2,2196,59116,,300
2,5,508,2,2196,59117,,
2,5,508,2,2196,59118,,400
2,5,508,2,2196,59119,,
2,5,508,2,2196,59120,,200
2,5,511,2,796,59121,,
2,5,511,2,796,59122,,
2,5,511,2,796,59124,,
2,5,511,2,796,59125,,
2,5,511,2,796,59127,,
2,5,511,2,796,59128,,
2,5,511,2,796,59129,,
2,5,511,2,796,59130,,400
2,5,511,2,796,59132,,400
2,5,514,2,1964,59133,,
2,5,514,2,1964,59138,,200
2,5,514,2,1964,59140,,300
2,5,514,2,1964,59143,,100
2,5,514,2,1964,59144,,
2,5,516,2,134,59145,,
2,5,516,2,134,59147,,
2,5,516,2,134,59148,,
2,5,516,2,134,59149,,600
2,5,516,2,134,59150,,
2,5,516,2,134,59151,,100
2,5,516,2,134,59153,,200
2,5,516,2,134,59154,,300
2,5,516,2,134,59155,,
2,5,516,2,134,59156,,
2,5,517,2,1424,59157,,300
2,5,517,2,1424,59159,,200
2,5,517,2,1424,59160,,1500
2,5,517,2,1424,59161,,
