"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,107,1322,2,19077,4,356.1,7,,,,,,2,,,,
4,1,107,1322,2,19077,5,221.16,7,,,,,,2,,,,
4,1,107,1322,2,19077,6,966.12,7,,,,,,2,,,,
4,1,107,1322,2,19079,1,1,7,1,,,,1104.8,1,1,,,
4,1,107,1322,2,19079,2,960.2,7,,,,,,2,,,,
4,1,107,1322,2,19080,2,120,1,2,4,,,,1,1,,,
4,1,107,1322,2,19080,3,1,5,1,,,,163.69,1,1,,,
4,1,107,1322,2,19081,1,600,1,1,,,,2696.5,1,1,,,
4,1,107,1322,2,19081,2,350,1,2,1,,,,1,1,2,3,4
4,1,107,1322,2,19082,1,500,1,2,4,,,,1,1,,,
4,1,107,1322,2,19082,2,400,1,2,1,,,,1,1,,,
4,1,107,1322,2,19082,3,450,1,2,4,,,,1,1,,,
4,1,107,1322,2,19082,4,400,1,1,,,,1233.4,1,1,2,3,
4,1,107,1322,2,19082,5,400,1,1,,,,886.55,1,1,2,3,
4,1,107,1322,2,19082,6,150,1,1,,,,190.06,1,1,2,3,
4,1,107,1322,2,19084,1,600,1,2,1,,,,1,1,2,3,
4,1,107,1322,2,19084,2,500,1,1,,,,601.76,1,1,2,,
4,1,107,1322,2,19084,3,550,1,2,1,,,,1,1,2,3,
4,1,107,1322,2,19084,4,710.32,7,,,,,,2,,,,
4,1,109,1214,2,19085,1,450,1,2,4,,,,1,1,,,
4,1,109,1214,2,19085,2,300,1,1,,,,848.13,1,1,2,,
4,1,109,1214,2,19085,3,75.95,7,,,,,,2,,,,
4,1,109,1214,2,19087,1,100,1,1,,,,430.23,1,1,,,
4,1,109,1214,2,19087,2,150,1,1,,,,382,1,1,,,
4,1,109,1214,2,19087,3,250,1,2,1,,,,1,1,,,
4,1,109,1214,2,19087,4,80.31,7,,,,,,2,,,,
4,1,109,1214,2,19088,1,150,1,1,,,,163.15,1,1,2,,
4,1,109,1214,2,19088,2,250,1,2,4,,,,1,1,2,,
4,1,109,1214,2,19088,3,350,7,,,,,,2,,,,
4,1,109,1214,2,19089,1,200,1,1,,,,563.4,1,1,,,
4,1,109,1214,2,19089,2,700,1,2,4,,,,1,1,,,
