"zone","state","lga","sector","ea","hhid","plotid","cropcode","s11fq0","s11fq1","s11fq2a","s11fq3d_1","s11fq3d_2","s11fq3d_2_os","s11fq3d_3","s11fq3b","s11fq3aa","s11fq3c","s11fq3e","s11fq3f","s11fq3_1","s11fq3_2","s11fq4aa","s11fq4","s11fq5aa","s11fq6","s11fq7","s11fq7a","s11fq8aa","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq11c","s11fq11d","s11fq12a","s11fq12b","s11fq12b_os","s11fq12c","s11fq12d","s11fq13"
4,1,105,2,638,10096,2,1080,1,100,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,6,10,,,1,1
4,1,105,2,638,10097,1,1020,1,100,2,8,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,20,130,,10,,1
4,1,105,2,638,10097,1,1080,1,100,2,6,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,7,140,,1,1,1
4,1,105,2,638,10097,1,1090,1,75,2,1,13,,,2,,,,,2,2018,,,,,,,,,,,,,,,,,,,,5,150,,0,1,1
4,1,105,2,638,10097,2,1020,1,100,2,10,100,,1,2,,,,,2,2018,,,,,,,2,,,,,,,,,,,,,22,130,,10,,1
4,1,105,2,638,10097,2,1121,1,50,2,30,211,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,65,211,,,,1
4,1,105,2,638,10097,2,1124,1,33,2,20,211,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,45,211,,,,1
4,1,105,2,638,10097,3,1020,1,100,2,10,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,28,130,,10,,1
4,1,105,2,638,10097,3,1080,1,75,2,5,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,7,13,,,1,1
4,1,105,2,638,10099,1,1020,1,100,2,2,100,,0,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,6,150,,0,,1
4,1,105,2,638,10099,1,1080,1,66,2,3,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,4,150,,0,1,1
4,1,105,2,638,10100,1,1020,1,100,2,10,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,18,130,,10,,1
4,1,105,2,638,10100,1,1080,1,100,2,5,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,8,130,,10,1,1
4,1,105,2,638,10100,2,1020,1,100,2,8,100,,1,2,,,,,2,2018,,,,,,,2,,,,,,,,,,,,,1,130,,10,,1
4,1,105,2,638,10100,2,1080,1,100,2,5,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,8,130,,10,1,1
4,1,105,2,638,10100,3,1020,1,100,2,7,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,12,130,,10,,1
4,1,105,2,638,10100,3,1090,1,75,2,2,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,3,150,,0,1,1
4,1,108,2,904,10102,1,1020,1,100,2,10,100,,2,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,20,150,,2,,1
4,1,108,2,904,10102,1,1080,1,100,2,3,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,12,150,,0,1,1
4,1,108,2,904,10102,1,1090,1,100,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,8,150,,1,1,1
4,1,108,2,904,10102,2,1020,1,100,2,10,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,20,150,,1,,1
