"zone","state","lga","sector","ea","hhid","livestock_cd","s11jq1a","s11jq2_1","s11jq2_2","s11jq2_3","s11jq2_4","s11jq2_5","s11jq2_6","s11jq2_7","s11jq2_8","s11jq2_9","s11jq2_10","s11jq2_11","s11jq2_os","s11jq3","s11jq4","s11jq5_1","s11jq5_2","s11jq5_3","s11jq5_4","s11jq5_5","s11jq5_6","s11jq5_7","s11jq5_8","s11jq5_9","s11jq5_10","s11jq5_11","s11jq5_os","s11jq6","s11jq7","s11jq8","s11jq11","s11jq11_os","s11jq12","s11jq13","s11jq14","s11jq15_1","s11jq15_2","s11jq15_3","s11jq15_4","s11jq15_5","s11jq15_6","s11jq15_7","s11jq15_8","s11jq15_9","s11jq15_10","s11jq16","s11jq17","s11jq18","s11jq19","s11jq20","s11jq21","s11jq22","s11jq23"
2,2,207,2,1302,20091,1,2,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,0,1,0,0,,4000,1,5000,2,,2,,2,1,,,,,,,,,,1,10000,1,100000,2,,2,
2,2,207,2,1302,20092,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,4,1,,,,,,,,,,2,,2,,2,,2,
2,2,207,2,1302,20092,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,4,1,,,,,,,,,,2,,2,,2,,2,
2,2,207,2,1302,20095,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,207,2,1302,20096,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,4,1,8,,,,,,,,,2,,2,,2,,2,
2,2,207,2,1302,20097,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,207,2,1302,20098,1,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,0,0,,5000,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,207,2,1302,20098,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,205,2,712,20102,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,4,1,,,,,,,,,,2,,2,,2,,2,
2,2,205,2,712,20102,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,4,1,,,,,,,,,,2,,2,,2,,2,
2,2,205,2,712,20103,3,1,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,,500,1,300,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,205,2,712,20104,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,205,2,712,20106,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,4,1,8,,,,,,,,,2,,2,,2,,2,
2,2,205,2,712,20110,4,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,4,1,,,,,,,,,,1,5000,2,,2,,2,
2,2,204,2,144,29001,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,1,6000,2,,2,
2,2,204,2,144,29002,3,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,,5000,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,204,2,144,29006,1,2,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,0,,500,2,,1,,2,,1,,,,,,,,,,,,,1,3500,2,,1,1500
2,2,204,2,144,29006,3,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,"PUGGIN",150,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,1,25000
2,2,204,2,144,29006,5,1,1,0,0,0,0,0,0,0,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,,200,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,204,2,144,29007,3,1,0,0,0,0,0,1,0,0,0,0,0,,3,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,1,2900,1,3600,2,
2,2,204,2,144,29007,5,1,1,0,0,0,0,0,0,0,0,0,0,,13,1,1,0,0,0,0,0,0,0,0,0,0,,100,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,204,2,144,29009,3,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,,2500,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,204,2,144,29010,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,205,2,206,29013,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,205,2,206,29018,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,1,,,,,,,,,,2,,2,,2,,2,
2,2,205,2,206,29020,3,1,0,0,0,0,0,0,0,0,1,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,0,,1500,2,,7,,2,,4,1,,,,,,,,,,1,5000,2,,2,,2,
2,2,205,2,206,29021,3,1,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,,500,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
