"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
4,1,102,1,806,"102-806",714,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",715,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",701,1,,10,,2,,,,,,,,,,,
5,10,1022,1,30,"1022-30",702,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",703,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",704,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",705,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",706,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",707,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",708,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",709,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",710,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",711,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",712,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",713,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",714,2,,,,,,,,,,,,,,,
5,10,1022,1,30,"1022-30",715,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",701,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",702,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",703,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",704,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",705,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",706,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",707,2,,,,,,,,,,,,,,,
