"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
2,2,205,2,206,29019,,,,,,,,,2,,,,
2,2,205,2,206,29020,,,,,,,,,2,,,,
2,2,205,2,206,29021,,,,,,,,,2,,,,
2,2,205,2,206,29022,,,,,,,,,2,,,,
2,2,205,2,206,29023,2,7,8,,3,6,7,,,,,,
2,2,205,2,206,29024,,,,,,,,,2,,,,
2,2,207,2,158,29025,,,,,,,,,2,,,,
2,2,207,2,0,29026,4,1,7,,10,14,7,,,,,,
2,2,207,2,158,29028,,,,,,,,,2,,,,
2,2,207,2,158,29029,,,,,,,,,1,8,,,
2,2,207,2,158,29031,,,,,,,,,2,,,,
2,2,207,2,158,29032,,,,,,,,,2,,,,
2,2,207,2,158,29033,,,,,,,,,2,,,,
2,2,207,2,158,29034,,,,,,,,,1,14,7,13,
2,2,207,2,158,29035,8,,,,8,,,,,,,,
2,2,207,2,158,29036,4,3,7,,7,5,3,,,,,,
2,2,208,2,300,29037,3,7,,,3,7,12,,,,,,
2,2,208,2,300,29038,4,7,,,3,7,12,,,,,,
2,2,208,2,300,29039,,,,,,,,,2,,,,
2,2,208,2,300,29041,1,7,8,,4,6,3,,,,,,
2,2,208,2,300,29042,,,,,,,,,2,,,,
2,2,208,2,300,29044,,,,,,,,,2,,,,
2,2,208,2,300,29045,4,8,,,4,8,,,,,,,
2,2,208,2,300,29046,,,,,,,,,1,3,4,7,
2,2,208,2,300,29047,1,6,9,,3,5,8,,,,,,
2,2,208,2,300,29048,4,12,,,3,6,,,,,,,
2,2,209,2,10,29050,,,,,,,,,1,3,7,,
2,2,209,2,10,29051,,,,,,,,,1,3,7,8,
2,2,209,2,10,29052,,,,,,,,,2,,,,
2,2,209,2,10,29053,,,,,,,,,2,,,,
2,2,209,2,10,29054,3,2,6,,2,3,6,,,,,,
2,2,209,2,10,29055,2,3,6,,2,3,6,,,,,,
2,2,209,2,10,29056,7,8,4,,4,8,7,,,,,,
2,2,209,2,10,29057,4,8,7,,4,7,8,,,,,,
2,2,209,2,10,29058,,,,,,,,,2,,,,
2,2,209,2,10,29060,3,8,,,3,4,8,,,,,,
2,2,210,2,924,29061,,,,,,,,,2,,,,
2,2,210,2,924,29062,,,,,,,,,2,,,,
